	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d
	Right Knee Moment	Right Knee Moment	Right Knee Moment	Right Knee Moment	Right Knee Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	-0.1588	-0.2235	-0.2022	-0.0209	-0.0362
2	-0.5099	-0.4041	-0.5847	-0.5172	-0.6031
3	-0.1293	-0.1968	-0.2453	-0.2885	-0.2185
4	-0.0117	-0.2985	-0.1051	-0.0461	0.0219
5	-0.2731	-0.3562	-0.3579	-0.3458	-0.3490
6	-0.3616	-0.4155	-0.3967	-0.3620	-0.5753
7	-0.5209	-0.5427	-0.4873	-0.4735	-0.6615
8	-0.6081	-0.6747	-0.5544	-0.5485	-0.7111
9	-0.6764	-0.8159	-0.6280	-0.6192	-0.7673
10	-0.6976	-0.8831	-0.6838	-0.6486	-0.7550
11	-0.6759	-0.8619	-0.7150	-0.6416	-0.7190
12	-0.6684	-0.8178	-0.7297	-0.6257	-0.7030
13	-0.6976	-0.8124	-0.7585	-0.6273	-0.7108
14	-0.7520	-0.8547	-0.7994	-0.6599	-0.7487
15	-0.8124	-0.9127	-0.8422	-0.7208	-0.7974
16	-0.8518	-0.9435	-0.8755	-0.7787	-0.8341
17	-0.8687	-0.9454	-0.8956	-0.8197	-0.8573
18	-0.8774	-0.9411	-0.9011	-0.8464	-0.8748
19	-0.8777	-0.9362	-0.8912	-0.8617	-0.8912
20	-0.8752	-0.9328	-0.8724	-0.8679	-0.9044
21	-0.8706	-0.9277	-0.8504	-0.8658	-0.9142
22	-0.8578	-0.9175	-0.8271	-0.8558	-0.9153
23	-0.8374	-0.9085	-0.8015	-0.8363	-0.9034
24	-0.8135	-0.8976	-0.7727	-0.8126	-0.8786
25	-0.7898	-0.8823	-0.7426	-0.7857	-0.8415
26	-0.7677	-0.8637	-0.7161	-0.7568	-0.7964
27	-0.7463	-0.8455	-0.6971	-0.7291	-0.7503
28	-0.7267	-0.8292	-0.6836	-0.7061	-0.7086
29	-0.7100	-0.8155	-0.6734	-0.6890	-0.6763
30	-0.6975	-0.8014	-0.6651	-0.6775	-0.6543
31	-0.6886	-0.7882	-0.6582	-0.6695	-0.6400
32	-0.6826	-0.7752	-0.6538	-0.6643	-0.6323
33	-0.6784	-0.7632	-0.6533	-0.6626	-0.6282
34	-0.6745	-0.7518	-0.6536	-0.6640	-0.6272
35	-0.6722	-0.7417	-0.6563	-0.6688	-0.6278
36	-0.6741	-0.7383	-0.6640	-0.6741	-0.6299
37	-0.6786	-0.7392	-0.6787	-0.6784	-0.6349
38	-0.6885	-0.7412	-0.6989	-0.6870	-0.6439
39	-0.6998	-0.7447	-0.7208	-0.7008	-0.6529
40	-0.7117	-0.7508	-0.7405	-0.7161	-0.6585
41	-0.7249	-0.7601	-0.7561	-0.7308	-0.6615
42	-0.7364	-0.7704	-0.7670	-0.7440	-0.6634
43	-0.7438	-0.7803	-0.7693	-0.7536	-0.6633
44	-0.7441	-0.7874	-0.7609	-0.7579	-0.6581
45	-0.7332	-0.7854	-0.7400	-0.7531	-0.6443
46	-0.7120	-0.7715	-0.7076	-0.7357	-0.6208
47	-0.6847	-0.7465	-0.6676	-0.7065	-0.5898
48	-0.6561	-0.7122	-0.6273	-0.6696	-0.5532
49	-0.6246	-0.6666	-0.5870	-0.6288	-0.5123
50	-0.5842	-0.6333	-0.5411	-0.5864	-0.4662
