	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-3.14	-3.04	-3.54	-3.45	-3.94	-3.78	-4.73	-5.12	-2.89	-4.74	-3.50	-4.12	-4.36	-1.10
2	-3.03	-2.93	-3.39	-3.15	-3.70	-3.54	-4.51	-4.95	-2.54	-4.70	-3.42	-3.94	-4.21	-1.10
3	-2.83	-2.78	-3.19	-2.78	-3.35	-3.20	-4.25	-4.73	-2.20	-4.62	-3.27	-3.73	-4.01	-1.10
4	-2.48	-2.51	-2.90	-2.31	-2.86	-2.72	-3.92	-4.43	-1.83	-4.43	-3.00	-3.43	-3.70	-1.10
5	-1.95	-2.08	-2.48	-1.72	-2.24	-2.09	-3.47	-3.99	-1.37	-4.08	-2.57	-2.98	-3.22	-1.10
6	-1.23	-1.47	-1.91	-0.99	-1.50	-1.31	-2.89	-3.39	-0.81	-3.52	-1.97	-2.36	-2.55	-1.10
7	-0.37	-0.71	-1.20	-0.17	-0.72	-0.44	-2.22	-2.65	-0.13	-2.76	-1.23	-1.55	-1.73	-1.10
8	0.54	0.13	-0.40	0.69	0.01	0.42	-1.49	-1.83	0.62	-1.88	-0.43	-0.63	-0.85	-1.10
9	1.38	0.94	0.43	1.49	0.59	1.18	-0.79	-1.01	1.38	-0.96	0.37	0.32	-0.05	-1.10
10	2.04	1.61	1.21	2.13	0.97	1.78	-0.18	-0.31	2.05	-0.14	1.07	1.17	0.57	-1.10
11	2.43	2.10	1.85	2.57	1.14	2.17	0.28	0.20	2.57	0.50	1.63	1.84	0.94	-1.10
12	2.56	2.37	2.31	2.79	1.13	2.37	0.58	0.51	2.86	0.90	2.00	2.28	1.06	-1.10
13	2.45	2.44	2.58	2.82	0.99	2.41	0.72	0.61	2.95	1.08	2.20	2.51	0.97	-1.10
14	2.19	2.36	2.66	2.70	0.79	2.34	0.72	0.56	2.85	1.08	2.25	2.57	0.75	-1.10
15	1.85	2.19	2.60	2.49	0.56	2.19	0.64	0.40	2.64	0.96	2.17	2.50	0.47	-1.10
16	1.49	1.96	2.43	2.22	0.31	2.02	0.51	0.21	2.38	0.77	2.00	2.35	0.20	-1.10
17	1.16	1.71	2.21	1.90	0.05	1.84	0.35	0.01	2.10	0.57	1.79	2.16	-0.02	-1.10
18	0.86	1.46	1.95	1.56	-0.21	1.66	0.17	-0.17	1.85	0.37	1.57	1.96	-0.19	-1.10
19	0.61	1.22	1.69	1.21	-0.48	1.47	-0.01	-0.34	1.64	0.20	1.35	1.76	-0.30	-1.10
