	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-5.21	0.94	-3.24	0.48	1.11	0.92	1.12	-0.96	-2.34	1.46	-3.96	1.54	3.15	-1.55
2	-4.58	1.72	-2.59	1.11	1.61	1.64	1.96	-0.43	-1.94	2.30	-3.21	2.36	4.12	-1.55
3	-3.98	2.51	-1.92	1.75	2.10	2.30	2.77	0.12	-1.55	3.12	-2.43	3.20	5.10	-1.55
4	-3.44	3.25	-1.28	2.37	2.55	2.86	3.53	0.66	-1.20	3.86	-1.67	3.99	6.03	-1.55
5	-3.00	3.91	-0.67	2.93	2.94	3.28	4.19	1.15	-0.90	4.47	-1.00	4.69	6.81	-1.56
6	-2.67	4.43	-0.14	3.42	3.25	3.55	4.75	1.54	-0.68	4.91	-0.44	5.25	7.38	-1.56
7	-2.47	4.79	0.33	3.80	3.47	3.66	5.18	1.79	-0.56	5.18	-0.02	5.64	7.70	-1.56
8	-2.39	5.00	0.74	4.09	3.62	3.68	5.52	1.89	-0.53	5.29	0.29	5.85	7.77	-1.56
9	-2.37	5.09	1.14	4.31	3.70	3.65	5.80	1.88	-0.58	5.31	0.55	5.91	7.66	-1.56
10	-2.36	5.11	1.56	4.51	3.78	3.68	6.08	1.82	-0.65	5.28	0.83	5.89	7.46	-1.56
11	-2.31	5.13	2.05	4.75	3.89	3.82	6.40	1.79	-0.70	5.29	1.21	5.88	7.31	-1.56
12	-2.16	5.21	2.62	5.09	4.09	4.14	6.80	1.87	-0.69	5.38	1.72	5.98	7.31	-1.56
13	-1.88	5.41	3.28	5.54	4.39	4.65	7.27	2.12	-0.57	5.60	2.37	6.26	7.54	-1.56
14	-1.46	5.73	4.00	6.10	4.80	5.31	7.81	2.54	-0.33	5.96	3.14	6.73	8.00	-1.56
15	-0.92	6.16	4.74	6.74	5.27	6.06	8.35	3.10	0.02	6.43	3.96	7.38	8.65	-1.56
16	-0.31	6.65	5.48	7.40	5.77	6.82	8.85	3.74	0.46	6.97	4.79	8.11	9.41	-1.56
17	0.34	7.15	6.17	8.05	6.24	7.52	9.25	4.37	0.97	7.52	5.57	8.85	10.18	-1.56
18	0.98	7.60	6.78	8.63	6.67	8.10	9.53	4.91	1.50	8.02	6.26	9.52	10.89	-1.56
19	1.55	7.95	7.29	9.15	7.03	8.52	9.67	5.31	2.02	8.42	6.84	10.08	11.48	-1.56
20	2.03	8.18	7.69	9.59	7.30	8.79	9.68	5.55	2.49	8.69	7.29	10.49	11.91	-1.56
