	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris	Right Rectus Femoris
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	2.8	3.0	3.2	2.6	3.2	3.5	3.1	2.7	2.0	2.0	2.7	2.5
2	2.9	2.8	3.3	2.6	2.4	3.7	3.7	3.1	2.3	2.6	2.7	2.8
3	2.9	2.6	3.3	2.7	3.1	3.8	3.8	3.3	2.4	2.7	2.5	3.0
4	3.1	2.8	3.2	3.1	3.9	4.5	4.0	2.8	2.4	2.9	2.6	2.9
5	3.7	2.5	2.8	2.9	5.2	4.5	3.5	2.7	2.5	3.1	2.9	3.0
6	3.3	2.7	2.1	2.8	5.4	4.6	3.8	2.6	3.0	3.0	2.8	4.5
7	3.1	2.7	2.0	2.9	5.6	4.5	3.3	3.0	3.3	2.6	3.3	4.3
8	3.2	3.3	2.1	3.1	5.6	4.3	2.7	3.0	4.1	2.8	3.7	4.5
9	3.3	3.0	2.4	3.1	5.1	4.7	2.8	3.6	4.2	3.2	3.9	4.5
10	2.2	3.2	2.7	2.9	4.4	4.0	3.1	3.7	4.4	3.2	4.1	4.5
11	2.4	3.2	2.8	3.6	3.4	3.7	3.1	3.7	4.2	3.6	3.7	2.8
