	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d
	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus	Right Soleus
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED	EMG_PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	11.3	42.1	17.5	10.7	31.5	18.1	17.7	10.7	17.0	34.9	11.5	17.4
2	17.9	68.9	23.4	17.3	32.0	37.8	18.7	12.4	27.9	41.9	17.9	34.1
3	26.9	78.0	23.8	26.0	38.9	39.7	41.7	25.9	30.3	45.2	36.4	37.0
4	29.7	80.1	28.0	27.6	45.9	48.7	43.9	26.2	33.9	56.3	40.2	41.0
5	35.3	83.5	33.4	29.2	51.7	50.5	51.8	29.1	41.0	58.9	45.5	48.5
6	36.5	83.1	35.7	32.5	50.2	58.4	55.2	39.1	51.6	61.2	48.2	52.1
7	37.2	55.2	33.1	32.4	43.5	57.2	60.2	43.9	52.9	47.8	52.0	48.1
8	32.1	46.6	30.7	27.6	45.6	51.2	59.7	48.2	51.2	48.4	41.4	51.1
9	31.2	42.6	34.1	24.2	38.4	52.5	56.6	49.0	51.5	46.9	42.0	58.3
10	32.2	43.7	29.9	29.2	33.2	45.8	69.5	49.9	50.4	40.4	46.5	52.1
11	26.2	43.3	29.1	32.9	23.9	44.0	64.2	47.1	44.3	38.1	43.6	52.1
12	26.2	44.3	28.0	33.7	23.7	35.0	63.2	43.6	35.6	37.2	40.7	48.8
13	27.4	44.1	28.0	38.0	23.3	30.7	60.2	30.1	30.9	38.1	40.9	42.7
14	28.7	41.2	24.8	39.7	15.3	29.9	58.1	27.9	30.8	29.8	40.4	30.6
15	27.6	30.3	19.3	39.6	15.0	19.6	49.1	22.4	21.7	27.7	28.8	27.5
16	24.8	28.5	18.4	35.0	12.0	15.8	34.3	14.6	20.0	24.9	27.9	22.3
17	25.6	21.0	11.5	33.2	10.5	14.5	32.8	13.1	19.3	19.3	23.4	14.0
18	22.9	17.5	10.1	29.1	10.5	13.2	23.5	10.5	17.5	15.5	22.1	13.0
19	18.0	16.4	10.1	22.0	10.5	13.4	17.3	11.0	16.5	15.5	19.5	9.3
20	17.4	12.4	9.8	20.3	11.2	13.5	17.0	11.4	15.4	11.8	19.1	6.0
21	14.7	8.2	8.5	17.0	9.5	13.3	16.2	10.7	12.5	8.7	7.5	6.6
22	11.5	9.3	7.6	9.7	7.2	11.8	10.3	10.8	10.2	9.4	7.0	6.5
23	9.9	8.3	6.9	11.4	7.0	9.1	8.6	8.8	6.9	9.9	6.9	6.6
24	8.3	7.9	8.0	10.6	7.1	8.6	8.7	7.5	6.4	9.0	8.1	6.4
25	8.2	7.7	7.0	10.0	6.0	7.7	9.6	7.0	6.4	8.5	8.3	5.8
26	8.3	7.7	7.1	9.2	4.6	6.5	9.4	5.9	6.0	7.6	8.5	4.8
27	7.1	8.1	7.2	8.5	4.6	6.0	7.8	5.3	7.5	7.9	7.7	4.5
28	7.9	6.5	7.3	10.1	5.9	6.0	7.3	6.1	7.6	6.5	7.6	5.0
29	8.9	7.2	7.4	7.4	5.8	7.6	9.5	5.9	8.3	5.7	7.3	4.7
30	9.6	6.6	6.0	7.4	5.7	7.3	13.6	6.6	8.0	5.9	5.3	4.7
31	9.6	6.6	5.9	8.7	6.5	7.4	13.3	6.7	10.1	5.0	5.0	5.1
32	9.7	6.4	6.4	9.1	6.4	6.9	13.5	6.9	10.1	5.1	3.8	5.2
33	9.3	6.3	5.7	9.4	6.3	7.0	14.3	6.8	10.5	4.8	4.3	5.0
34	8.8	6.4	6.3	7.8	5.4	5.6	14.2	6.5	9.6	5.3	4.3	4.2
35	7.7	6.2	5.6	8.2	6.2	4.2	11.9	6.7	9.6	4.8	3.8	4.2
36	8.3	6.1	5.5	8.2	6.3	4.3	7.6	5.6	7.8	5.6	3.9	4.0
37	6.7	5.3	5.7	7.4	5.2	5.1	7.2	6.0	7.1	5.2	4.4	3.5
38	6.9	5.2	5.3	6.8	5.3	5.2	4.8	5.9	5.2	5.8	4.5	3.4
39	6.8	5.0	5.8	6.1	5.3	5.1	4.1	5.5	5.6	5.6	4.1	3.8
40	6.2	5.5	5.4	5.5	5.9	5.1	4.4	6.2	5.4	5.3	4.6	4.4
41	5.6	5.1	5.4	5.4	5.5	5.3	4.5	6.4	5.1	5.1	4.6	4.4
42	6.2	5.3	5.3	4.9	5.6	4.4	4.6	6.0	8.3	5.1	4.4	5.3
43	6.3	5.5	4.8	5.2	5.8	4.3	4.7	5.4	8.3	5.4	5.7	6.2
44	6.1	5.8	4.5	5.3	6.0	4.2	4.6	6.2	8.6	5.1	6.1	6.2
45	6.0	5.3	5.3	5.9	5.5	3.9	4.7	5.7	8.8	4.7	5.7	6.1
46	6.1	5.2	6.4	6.2	5.3	4.7	4.3	5.1	8.7	4.0	5.8	5.8
47	6.2	5.4	6.5	6.0	4.9	4.4	4.5	4.9	5.4	3.7	6.0	5.4
48	5.9	5.5	7.5	5.9	5.3	4.7	4.8	5.0	4.9	4.3	5.3	4.6
