	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles	Right Thorax Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.7	-0.5	-1.0	-1.5	-0.9	0.1	-1.6	-1.7	-0.5	-2.8	-0.8	-2.1	-1.7	5.5
2	0.6	-0.7	-1.1	-1.4	-0.9	0.0	-1.8	-1.6	-0.4	-3.0	-0.8	-2.3	-1.9	5.5
3	0.5	-0.8	-1.2	-1.4	-0.9	-0.0	-1.9	-1.6	-0.4	-3.0	-0.9	-2.4	-2.1	5.5
4	0.6	-0.9	-1.2	-1.4	-0.9	0.0	-1.9	-1.5	-0.3	-3.0	-0.9	-2.4	-2.2	5.5
5	0.7	-0.9	-1.2	-1.3	-0.9	0.2	-1.9	-1.4	-0.2	-2.7	-0.8	-2.4	-2.2	5.5
6	0.8	-0.8	-1.1	-1.2	-0.8	0.4	-1.8	-1.3	-0.1	-2.4	-0.6	-2.3	-2.0	5.5
7	1.0	-0.6	-1.0	-1.0	-0.7	0.6	-1.7	-1.0	0.1	-1.9	-0.4	-2.0	-1.6	5.5
8	1.3	-0.3	-0.8	-0.7	-0.5	0.9	-1.5	-0.7	0.2	-1.3	-0.1	-1.6	-1.0	5.5
9	1.5	0.1	-0.6	-0.5	-0.4	1.1	-1.3	-0.3	0.4	-0.7	0.3	-1.2	-0.4	5.5
10	1.6	0.4	-0.5	-0.2	-0.2	1.3	-1.1	0.0	0.6	-0.2	0.5	-0.8	0.3	5.5
11	1.6	0.7	-0.4	0.0	-0.1	1.2	-1.0	0.3	0.7	0.3	0.7	-0.4	0.9	5.5
12	1.6	0.9	-0.4	0.2	0.0	1.1	-1.0	0.5	0.7	0.6	0.8	-0.1	1.3	5.5
13	1.4	1.0	-0.5	0.2	0.1	0.8	-1.0	0.6	0.7	0.7	0.7	-0.0	1.4	5.5
14	1.2	1.0	-0.6	0.2	0.1	0.4	-0.9	0.6	0.6	0.7	0.6	-0.1	1.4	5.5
15	1.0	0.9	-0.7	0.2	0.1	0.1	-0.9	0.5	0.5	0.7	0.5	-0.3	1.2	5.5
16	0.7	0.7	-0.8	0.1	-0.0	-0.3	-0.8	0.4	0.4	0.5	0.3	-0.5	0.9	5.5
17	0.5	0.6	-0.9	0.1	-0.0	-0.5	-0.6	0.4	0.2	0.4	0.3	-0.7	0.6	5.5
18	0.2	0.5	-0.9	0.0	-0.1	-0.6	-0.3	0.5	0.1	0.3	0.2	-0.8	0.4	5.5
19	0.1	0.5	-0.8	0.1	-0.0	-0.5	0.0	0.7	-0.0	0.2	0.3	-0.8	0.2	5.5
20	0.0	0.6	-0.7	0.1	0.0	-0.3	0.5	1.0	-0.1	0.3	0.5	-0.7	0.3	5.5
21	0.1	0.8	-0.5	0.2	0.2	-0.1	0.9	1.4	-0.1	0.5	0.7	-0.5	0.4	5.5
22	0.2	1.0	-0.2	0.3	0.4	0.3	1.4	1.8	-0.1	0.8	1.0	-0.2	0.7	5.5
23	0.5	1.4	0.1	0.5	0.7	0.7	1.9	2.4	0.1	1.2	1.4	0.2	1.1	5.5
24	0.8	1.8	0.5	0.8	1.1	1.2	2.3	2.9	0.3	1.7	1.8	0.7	1.6	5.5
25	1.3	2.2	0.9	1.1	1.5	1.7	2.8	3.5	0.6	2.2	2.2	1.3	2.1	5.5
26	1.8	2.6	1.2	1.5	1.9	2.2	3.2	4.0	1.0	2.8	2.7	1.8	2.6	5.5
27	2.2	3.0	1.6	1.9	2.3	2.6	3.6	4.6	1.5	3.3	3.1	2.4	3.2	5.5
28	2.7	3.5	2.0	2.3	2.7	3.1	4.0	5.2	1.9	3.8	3.6	2.9	3.7	5.5
29	3.1	3.9	2.3	2.7	3.1	3.4	4.3	5.8	2.4	4.3	4.0	3.3	4.2	5.5
30	3.5	4.2	2.7	3.0	3.4	3.8	4.6	6.3	2.8	4.6	4.4	3.8	4.6	5.5
31	3.8	4.5	3.0	3.3	3.8	4.1	4.9	6.8	3.2	5.0	4.8	4.2	5.0	5.5
32	4.1	4.8	3.3	3.6	4.0	4.4	5.2	7.3	3.5	5.3	5.2	4.6	5.4	5.5
33	4.3	5.1	3.6	3.9	4.3	4.7	5.5	7.8	3.8	5.6	5.6	4.9	5.8	5.5
34	4.6	5.3	3.9	4.2	4.6	4.9	5.8	8.2	4.0	5.9	5.9	5.3	6.1	5.5
35	4.7	5.6	4.3	4.5	4.9	5.2	6.1	8.6	4.3	6.1	6.3	5.6	6.4	5.5
36	4.9	5.9	4.6	4.7	5.2	5.5	6.4	9.0	4.5	6.4	6.7	6.0	6.7	5.5
37	5.1	6.1	4.9	5.0	5.5	5.8	6.7	9.3	4.8	6.6	7.2	6.2	7.1	5.5
38	5.3	6.3	5.2	5.3	5.8	6.2	7.0	9.6	5.0	6.8	7.6	6.5	7.4	5.5
39	5.5	6.6	5.5	5.5	6.1	6.5	7.3	9.9	5.3	7.0	7.9	6.7	7.8	5.5
40	5.7	6.7	5.8	5.8	6.5	6.8	7.6	10.2	5.6	7.2	8.2	6.9	8.2	5.5
41	5.9	6.9	6.1	6.0	6.8	7.1	7.9	10.4	5.9	7.4	8.5	7.0	8.6	5.5
