	Gait LB - IOR 5.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	18.2	0.0
2	15.9	0.0
3	13.5	0.0
4	11.2	0.0
5	9.1	0.0
6	7.2	0.0
7	5.6	0.0
8	4.2	0.0
9	3.2	0.0
10	2.4	0.0
11	1.8	0.0
12	1.4	0.0
13	1.2	0.0
14	1.1	0.0
15	1.0	0.0
16	1.0	0.0
17	0.9	0.0
18	0.9	0.0
19	0.9	0.0
20	0.9	0.0
21	0.9	0.0
22	0.9	0.0
23	0.9	0.0
24	0.9	0.0
25	0.9	0.0
26	0.9	0.0
27	0.9	0.0
28	0.9	0.0
29	0.8	0.0
30	0.8	0.0
31	0.8	0.0
32	0.7	0.0
33	0.6	0.0
34	0.5	0.0
35	0.4	0.0
36	0.3	0.0
37	0.2	0.0
38	0.0	0.0
39	-0.1	0.0
40	-0.4	0.0
41	-0.7	0.0
42	-1.1	0.0
43	-1.6	0.0
44	-2.2	0.0
45	-3.0	0.0
46	-3.9	0.0
47	-5.0	0.0
48	-6.4	0.0
49	-8.1	0.0
50	-10.0	0.0
51	-12.4	0.0
52	-15.3	-0.0
53	-18.6	-0.0
54	-22.5	-0.0
55	-27.1	-0.0
56	-32.1	-0.0
57	-37.6	-0.0
58	-43.2	-0.0
59	-48.5	-0.0
60	-53.1	-0.0
61	-56.7	-0.0
62	-59.1	-0.0
63	-60.4	-0.0
64	-60.5	-0.0
65	-59.6	-0.0
66	-58.1	-0.0
67	-56.0	-0.0
68	-53.6	-0.0
69	-50.8	-0.0
70	-47.7	-0.0
71	-44.5	-0.0
72	-41.0	-0.0
73	-37.3	-0.0
74	-33.5	-0.0
75	-29.7	-0.0
76	-25.8	-0.0
77	-21.8	-0.0
78	-17.9	-0.0
79	-14.1	-0.0
80	-10.3	-0.0
81	-6.5	-0.0
82	-2.9	-0.0
83	0.6	-0.0
84	3.9	-0.0
85	7.0	-0.0
86	9.8	-0.0
87	12.5	-0.0
88	14.9	-0.0
89	17.2	-0.0
90	19.2	-0.0
91	20.9	-0.0
92	22.3	-0.0
93	23.3	-0.0
94	23.9	-0.0
95	24.2	-0.0
96	23.9	-0.0
97	23.3	-0.0
98	22.4	-0.0
99	21.1	-0.0
100	19.5	-0.0
101	17.6	-0.0
