	Gait LB - IOR 5.c3d	Static.c3d
	Left Foot Progression	Left Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	-15.2	-11.6
2	-15.4	-11.6
3	-15.6	-11.6
4	-15.8	-11.6
5	-16.0	-11.6
6	-16.0	-11.6
7	-15.9	-11.6
8	-15.7	-11.6
9	-15.4	-11.6
10	-15.1	-11.6
11	-14.8	-11.6
12	-14.6	-11.6
13	-14.4	-11.6
14	-14.3	-11.6
15	-14.3	-11.6
16	-14.3	-11.6
17	-14.3	-11.6
18	-14.4	-11.6
19	-14.5	-11.6
20	-14.6	-11.6
21	-14.8	-11.6
22	-14.8	-11.6
23	-14.9	-11.6
24	-15.0	-11.6
25	-15.0	-11.6
26	-15.1	-11.6
27	-15.1	-11.6
28	-15.1	-11.6
29	-15.2	-11.6
30	-15.2	-11.6
31	-15.3	-11.6
32	-15.3	-11.6
33	-15.4	-11.6
34	-15.4	-11.6
35	-15.5	-11.6
36	-15.5	-11.6
37	-15.5	-11.6
38	-15.6	-11.6
39	-15.6	-11.6
40	-15.6	-11.6
41	-15.6	-11.6
42	-15.6	-11.6
43	-15.5	-11.6
44	-15.5	-11.6
45	-15.4	-11.6
46	-15.3	-11.6
47	-15.1	-11.6
48	-14.9	-11.6
49	-14.6	-11.6
50	-14.4	-11.6
51	-14.0	-11.6
52	-13.7	-11.6
53	-13.4	-11.6
54	-13.0	-11.6
55	-12.7	-11.6
56	-12.3	-11.6
57	-11.9	-11.6
58	-11.6	-11.6
59	-11.3	-11.6
60	-11.3	-11.6
61	-11.6	-11.6
62	-12.3	-11.6
63	-13.5	-11.6
64	-15.2	-11.6
65	-17.1	-11.6
66	-19.2	-11.6
67	-21.2	-11.6
68	-23.1	-11.6
69	-24.6	-11.6
70	-25.8	-11.6
71	-26.7	-11.6
72	-27.2	-11.6
73	-27.6	-11.6
74	-27.8	-11.6
75	-28.0	-11.6
76	-28.1	-11.6
77	-28.3	-11.6
78	-28.5	-11.6
79	-28.7	-11.6
80	-28.9	-11.6
81	-29.0	-11.6
82	-29.0	-11.6
83	-28.8	-11.6
84	-28.5	-11.6
85	-28.1	-11.6
86	-27.5	-11.6
87	-26.8	-11.6
88	-26.0	-11.6
89	-25.0	-11.6
90	-24.0	-11.6
91	-22.8	-11.6
92	-21.7	-11.6
93	-20.6	-11.6
94	-19.6	-11.6
95	-18.7	-11.6
96	-17.9	-11.6
97	-17.2	-11.6
98	-16.7	-11.6
99	-16.3	-11.6
100	-16.0	-11.6
101	-15.8	-11.6
