	Gait LB - IOR 5.c3d
	Left GRF
	LINK_MODEL_BASED
	ORIGINAL
ITEM	X
1	-0.0104
2	-0.0358
3	-0.0416
4	-0.0250
5	-0.0114
6	0.0038
7	0.0187
8	0.0273
9	0.0302
10	0.0305
11	0.0309
12	0.0330
13	0.0382
14	0.0426
15	0.0436
16	0.0425
17	0.0414
18	0.0402
19	0.0381
20	0.0352
21	0.0317
22	0.0285
23	0.0268
24	0.0274
25	0.0294
26	0.0315
27	0.0329
28	0.0338
29	0.0339
30	0.0339
31	0.0344
32	0.0349
33	0.0356
34	0.0380
35	0.0429
36	0.0492
37	0.0554
38	0.0614
39	0.0673
40	0.0722
41	0.0757
42	0.0774
43	0.0766
44	0.0742
45	0.0708
46	0.0679
47	0.0661
48	0.0647
49	0.0630
50	0.0598
51	0.0549
52	0.0476
53	0.0369
54	0.0241
55	0.0117
56	-0.0002
57	-0.0083
58	-0.0055
59	0.0023
60	0.0039
61	-0.0006
62	0.0001
63	-0.0000
64	0.0000
65	-0.0000
66	-0.0000
67	0.0000
68	-0.0000
69	0.0000
70	-0.0000
71	0.0000
72	-0.0000
73	-0.0000
74	0.0000
75	-0.0000
76	0.0000
77	-0.0000
78	0.0000
79	-0.0000
80	-0.0000
81	0.0000
82	-0.0000
83	0.0000
84	-0.0000
85	0.0000
86	-0.0000
87	-0.0000
88	0.0000
89	-0.0000
90	0.0000
91	-0.0000
92	0.0000
93	-0.0000
94	-0.0000
95	0.0000
96	-0.0000
97	0.0000
98	-0.0000
99	0.0000
100	-0.0000
101	0.0000
