	Gait LB - IOR 5.c3d
	Left GRF
	LINK_MODEL_BASED
	ORIGINAL
ITEM	Y
1	0.0050
2	-0.0206
3	-0.0947
4	-0.1411
5	-0.1145
6	-0.1042
7	-0.1304
8	-0.1431
9	-0.1465
10	-0.1542
11	-0.1570
12	-0.1521
13	-0.1441
14	-0.1350
15	-0.1248
16	-0.1140
17	-0.1033
18	-0.0923
19	-0.0794
20	-0.0652
21	-0.0526
22	-0.0426
23	-0.0352
24	-0.0313
25	-0.0288
26	-0.0239
27	-0.0175
28	-0.0106
29	-0.0030
30	0.0050
31	0.0132
32	0.0225
33	0.0323
34	0.0406
35	0.0468
36	0.0490
37	0.0488
38	0.0482
39	0.0473
40	0.0460
41	0.0454
42	0.0482
43	0.0572
44	0.0723
45	0.0926
46	0.1152
47	0.1356
48	0.1548
49	0.1726
50	0.1875
51	0.1985
52	0.2047
53	0.2047
54	0.1961
55	0.1842
56	0.1598
57	0.1110
58	0.0469
59	0.0038
60	-0.0062
61	0.0010
62	-0.0002
63	0.0000
64	-0.0000
65	0.0000
66	0.0000
67	-0.0000
68	0.0000
69	-0.0000
70	0.0000
71	-0.0000
72	0.0000
73	0.0000
74	-0.0000
75	0.0000
76	-0.0000
77	0.0000
78	-0.0000
79	0.0000
80	0.0000
81	-0.0000
82	0.0000
83	-0.0000
84	0.0000
85	-0.0000
86	0.0000
87	0.0000
88	-0.0000
89	0.0000
90	-0.0000
91	0.0000
92	-0.0000
93	0.0000
94	0.0000
95	-0.0000
96	0.0000
97	-0.0000
98	0.0000
99	-0.0000
100	0.0000
101	0.0000
