	Gait LB - IOR 5.c3d
	Left GRF
	LINK_MODEL_BASED
	ORIGINAL
ITEM	Z
1	0.1801
2	0.4047
3	0.4609
4	0.5018
5	0.5406
6	0.5819
7	0.6179
8	0.6725
9	0.7562
10	0.8530
11	0.9379
12	0.9934
13	1.0256
14	1.0446
15	1.0538
16	1.0481
17	1.0265
18	0.9963
19	0.9624
20	0.9257
21	0.8880
22	0.8531
23	0.8228
24	0.7990
25	0.7826
26	0.7730
27	0.7690
28	0.7695
29	0.7760
30	0.7879
31	0.7994
32	0.8109
33	0.8269
34	0.8486
35	0.8747
36	0.9018
37	0.9249
38	0.9436
39	0.9618
40	0.9828
41	1.0091
42	1.0430
43	1.0864
44	1.1338
45	1.1744
46	1.2005
47	1.2105
48	1.2035
49	1.1799
50	1.1390
51	1.0801
52	1.0005
53	0.8972
54	0.7717
55	0.6185
56	0.4442
57	0.2692
58	0.1262
59	0.0548
60	0.0242
61	-0.0031
62	0.0007
63	-0.0001
64	0.0000
65	-0.0000
66	-0.0000
67	0.0000
68	-0.0000
69	0.0000
70	-0.0000
71	0.0000
72	-0.0000
73	-0.0000
74	0.0000
75	-0.0000
76	0.0000
77	-0.0000
78	0.0000
79	-0.0000
80	-0.0000
81	0.0000
82	-0.0000
83	0.0000
84	-0.0000
85	0.0000
86	-0.0000
87	-0.0000
88	0.0000
89	-0.0000
90	0.0000
91	-0.0000
92	0.0000
93	-0.0000
94	-0.0000
95	0.0000
96	-0.0000
97	0.0000
98	-0.0000
99	0.0000
100	-0.0000
101	0.0000
