	Gait LB - IOR 5.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Y	Y
1	-5.66	-2.56
2	-5.33	-2.56
3	-4.97	-2.56
4	-4.56	-2.56
5	-4.11	-2.56
6	-3.60	-2.56
7	-3.05	-2.56
8	-2.47	-2.56
9	-1.87	-2.56
10	-1.27	-2.56
11	-0.71	-2.56
12	-0.21	-2.56
13	0.21	-2.56
14	0.54	-2.56
15	0.76	-2.56
16	0.88	-2.56
17	0.93	-2.55
18	0.90	-2.55
19	0.83	-2.55
20	0.73	-2.55
21	0.61	-2.55
22	0.48	-2.55
23	0.36	-2.55
24	0.23	-2.55
25	0.10	-2.55
26	-0.01	-2.55
27	-0.12	-2.55
28	-0.20	-2.55
29	-0.26	-2.55
30	-0.28	-2.55
31	-0.26	-2.55
32	-0.21	-2.55
33	-0.14	-2.55
34	-0.05	-2.55
35	0.06	-2.55
36	0.18	-2.55
37	0.30	-2.55
38	0.42	-2.55
39	0.53	-2.55
40	0.63	-2.55
41	0.70	-2.55
42	0.75	-2.55
43	0.75	-2.55
44	0.71	-2.55
45	0.61	-2.55
46	0.44	-2.55
47	0.21	-2.55
48	-0.09	-2.55
49	-0.47	-2.55
50	-0.94	-2.55
51	-1.48	-2.55
52	-2.10	-2.55
53	-2.79	-2.55
54	-3.53	-2.55
55	-4.32	-2.55
56	-5.12	-2.55
57	-5.91	-2.55
58	-6.65	-2.55
59	-7.31	-2.55
60	-7.85	-2.55
61	-8.25	-2.55
62	-8.47	-2.55
63	-8.53	-2.55
64	-8.42	-2.55
65	-8.17	-2.55
66	-7.80	-2.55
67	-7.36	-2.55
68	-6.87	-2.55
69	-6.36	-2.55
70	-5.87	-2.55
71	-5.42	-2.55
72	-5.01	-2.55
73	-4.65	-2.55
74	-4.36	-2.55
75	-4.12	-2.55
76	-3.95	-2.55
77	-3.83	-2.55
78	-3.77	-2.55
79	-3.76	-2.55
80	-3.78	-2.55
81	-3.83	-2.55
82	-3.90	-2.55
83	-3.97	-2.55
84	-4.04	-2.55
85	-4.09	-2.55
86	-4.12	-2.55
87	-4.12	-2.55
88	-4.09	-2.55
89	-4.05	-2.55
90	-4.00	-2.55
91	-3.97	-2.55
92	-3.96	-2.55
93	-3.97	-2.55
94	-3.98	-2.55
95	-3.99	-2.55
96	-3.97	-2.55
97	-3.90	-2.55
98	-3.77	-2.55
99	-3.59	-2.55
100	-3.34	-2.55
101	-3.04	-2.55
