	Gait LB - IOR 5.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	19.0	-9.7
2	18.6	-9.7
3	18.0	-9.7
4	17.3	-9.7
5	16.5	-9.7
6	15.6	-9.7
7	14.7	-9.7
8	13.9	-9.7
9	13.1	-9.7
10	12.3	-9.7
11	11.5	-9.7
12	10.7	-9.7
13	10.0	-9.7
14	9.2	-9.7
15	8.4	-9.7
16	7.5	-9.7
17	6.5	-9.7
18	5.5	-9.7
19	4.5	-9.7
20	3.5	-9.7
21	2.5	-9.7
22	1.5	-9.7
23	0.5	-9.7
24	-0.5	-9.7
25	-1.5	-9.7
26	-2.4	-9.7
27	-3.4	-9.7
28	-4.3	-9.7
29	-5.3	-9.7
30	-6.3	-9.7
31	-7.3	-9.7
32	-8.3	-9.7
33	-9.3	-9.7
34	-10.3	-9.7
35	-11.2	-9.7
36	-12.0	-9.7
37	-12.8	-9.7
38	-13.6	-9.7
39	-14.3	-9.7
40	-15.0	-9.7
41	-15.7	-9.7
42	-16.4	-9.7
43	-17.1	-9.7
44	-17.7	-9.7
45	-18.4	-9.7
46	-19.0	-9.7
47	-19.5	-9.7
48	-20.0	-9.7
49	-20.4	-9.7
50	-20.7	-9.7
51	-20.9	-9.7
52	-20.9	-9.7
53	-20.7	-9.7
54	-20.2	-9.7
55	-19.5	-9.7
56	-18.4	-9.7
57	-17.1	-9.7
58	-15.4	-9.7
59	-13.4	-9.7
60	-11.2	-9.7
61	-8.8	-9.7
62	-6.4	-9.7
63	-3.9	-9.7
64	-1.5	-9.7
65	0.9	-9.7
66	3.1	-9.7
67	5.3	-9.7
68	7.4	-9.7
69	9.3	-9.7
70	11.1	-9.7
71	12.8	-9.7
72	14.4	-9.7
73	15.9	-9.7
74	17.3	-9.7
75	18.7	-9.7
76	19.9	-9.7
77	21.0	-9.7
78	21.9	-9.7
79	22.7	-9.7
80	23.4	-9.7
81	23.8	-9.7
82	24.1	-9.7
83	24.3	-9.7
84	24.3	-9.7
85	24.1	-9.7
86	23.9	-9.7
87	23.6	-9.7
88	23.2	-9.7
89	22.8	-9.7
90	22.4	-9.7
91	21.9	-9.7
92	21.5	-9.7
93	21.1	-9.7
94	20.7	-9.7
95	20.4	-9.7
96	20.1	-9.7
97	19.8	-9.7
98	19.6	-9.7
99	19.3	-9.7
100	19.0	-9.7
101	18.6	-9.7
