	Gait LB - IOR 5.c3d	Static.c3d
	Left Hip Angles	Left Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Z	Z
1	-5.77	-1.64
2	-6.03	-1.64
3	-6.18	-1.64
4	-6.24	-1.64
5	-6.24	-1.64
6	-6.22	-1.64
7	-6.20	-1.64
8	-6.16	-1.64
9	-6.07	-1.64
10	-5.88	-1.64
11	-5.56	-1.64
12	-5.13	-1.64
13	-4.62	-1.64
14	-4.09	-1.64
15	-3.59	-1.64
16	-3.18	-1.64
17	-2.86	-1.64
18	-2.65	-1.64
19	-2.50	-1.64
20	-2.40	-1.64
21	-2.29	-1.64
22	-2.18	-1.64
23	-2.07	-1.64
24	-1.96	-1.64
25	-1.87	-1.64
26	-1.81	-1.64
27	-1.80	-1.64
28	-1.82	-1.64
29	-1.87	-1.64
30	-1.92	-1.64
31	-1.96	-1.64
32	-2.00	-1.64
33	-2.03	-1.64
34	-2.07	-1.64
35	-2.11	-1.64
36	-2.19	-1.64
37	-2.29	-1.64
38	-2.43	-1.64
39	-2.60	-1.64
40	-2.82	-1.64
41	-3.10	-1.64
42	-3.43	-1.64
43	-3.82	-1.64
44	-4.27	-1.64
45	-4.75	-1.64
46	-5.21	-1.64
47	-5.63	-1.65
48	-5.97	-1.65
49	-6.20	-1.65
50	-6.32	-1.65
51	-6.35	-1.65
52	-6.34	-1.65
53	-6.35	-1.65
54	-6.44	-1.65
55	-6.67	-1.65
56	-7.06	-1.65
57	-7.61	-1.65
58	-8.26	-1.65
59	-8.90	-1.65
60	-9.43	-1.65
61	-9.74	-1.65
62	-9.75	-1.65
63	-9.45	-1.65
64	-8.90	-1.65
65	-8.20	-1.65
66	-7.48	-1.65
67	-6.85	-1.65
68	-6.37	-1.65
69	-6.08	-1.65
70	-5.94	-1.65
71	-5.91	-1.65
72	-5.91	-1.65
73	-5.89	-1.65
74	-5.82	-1.65
75	-5.66	-1.65
76	-5.44	-1.65
77	-5.17	-1.65
78	-4.88	-1.65
79	-4.61	-1.65
80	-4.39	-1.65
81	-4.23	-1.65
82	-4.15	-1.65
83	-4.16	-1.65
84	-4.25	-1.65
85	-4.41	-1.65
86	-4.61	-1.65
87	-4.83	-1.65
88	-5.05	-1.65
89	-5.23	-1.65
90	-5.34	-1.65
91	-5.36	-1.65
92	-5.29	-1.65
93	-5.15	-1.65
94	-4.97	-1.65
95	-4.81	-1.65
96	-4.70	-1.65
97	-4.65	-1.65
98	-4.66	-1.65
99	-4.68	-1.65
100	-4.69	-1.65
101	-4.65	-1.65
