	Gait LB - IOR 5.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	Y	Y
1	2.76	2.84
2	2.80	2.84
3	2.88	2.84
4	2.99	2.84
5	3.11	2.84
6	3.24	2.84
7	3.36	2.84
8	3.48	2.84
9	3.58	2.84
10	3.70	2.84
11	3.83	2.84
12	3.97	2.84
13	4.13	2.84
14	4.28	2.84
15	4.41	2.84
16	4.51	2.84
17	4.57	2.84
18	4.59	2.84
19	4.58	2.84
20	4.55	2.84
21	4.50	2.84
22	4.44	2.84
23	4.37	2.84
24	4.31	2.84
25	4.27	2.84
26	4.23	2.84
27	4.20	2.84
28	4.19	2.84
29	4.19	2.84
30	4.19	2.84
31	4.19	2.84
32	4.20	2.84
33	4.21	2.84
34	4.22	2.84
35	4.24	2.84
36	4.27	2.84
37	4.30	2.84
38	4.32	2.84
39	4.34	2.84
40	4.35	2.84
41	4.35	2.84
42	4.33	2.84
43	4.31	2.84
44	4.27	2.84
45	4.22	2.84
46	4.16	2.84
47	4.09	2.84
48	4.02	2.84
49	3.94	2.84
50	3.88	2.84
51	3.84	2.84
52	3.83	2.84
53	3.86	2.84
54	3.89	2.84
55	3.89	2.84
56	3.81	2.84
57	3.57	2.84
58	3.13	2.84
59	2.50	2.84
60	1.73	2.84
61	0.94	2.84
62	0.25	2.84
63	-0.24	2.84
64	-0.48	2.84
65	-0.50	2.84
66	-0.35	2.84
67	-0.11	2.84
68	0.15	2.84
69	0.38	2.84
70	0.60	2.84
71	0.83	2.84
72	1.11	2.84
73	1.47	2.84
74	1.91	2.84
75	2.44	2.84
76	3.02	2.84
77	3.64	2.84
78	4.25	2.84
79	4.81	2.84
80	5.30	2.84
81	5.70	2.84
82	5.99	2.84
83	6.16	2.84
84	6.23	2.84
85	6.19	2.84
86	6.04	2.84
87	5.80	2.84
88	5.47	2.84
89	5.09	2.84
90	4.68	2.84
91	4.28	2.84
92	3.93	2.84
93	3.65	2.84
94	3.43	2.84
95	3.29	2.84
96	3.21	2.84
97	3.16	2.84
98	3.15	2.84
99	3.15	2.84
100	3.17	2.84
101	3.20	2.84
