	Gait LB - IOR 5.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	8.0	-0.1
2	9.0	-0.1
3	9.8	-0.1
4	10.5	-0.1
5	11.0	-0.1
6	11.5	-0.1
7	12.0	-0.1
8	12.3	-0.1
9	12.5	-0.1
10	12.6	-0.1
11	12.6	-0.1
12	12.5	-0.1
13	12.3	-0.1
14	11.9	-0.1
15	11.4	-0.1
16	10.9	-0.1
17	10.3	-0.1
18	9.7	-0.1
19	9.0	-0.1
20	8.4	-0.1
21	7.7	-0.1
22	6.9	-0.1
23	6.2	-0.1
24	5.5	-0.1
25	4.7	-0.1
26	4.0	-0.1
27	3.2	-0.1
28	2.4	-0.1
29	1.7	-0.1
30	0.9	-0.1
31	0.3	-0.1
32	-0.3	-0.1
33	-0.8	-0.1
34	-1.1	-0.1
35	-1.2	-0.1
36	-1.2	-0.1
37	-1.0	-0.1
38	-0.7	-0.1
39	-0.3	-0.1
40	0.3	-0.1
41	1.0	-0.1
42	1.7	-0.1
43	2.5	-0.1
44	3.4	-0.1
45	4.4	-0.1
46	5.5	-0.1
47	6.7	-0.1
48	8.1	-0.1
49	9.7	-0.1
50	11.4	-0.1
51	13.5	-0.1
52	15.8	-0.1
53	18.4	-0.1
54	21.3	-0.1
55	24.5	-0.1
56	28.1	-0.1
57	31.8	-0.1
58	35.8	-0.1
59	39.8	-0.1
60	43.8	-0.1
61	47.7	-0.1
62	51.4	-0.1
63	54.8	-0.1
64	57.7	-0.1
65	60.2	-0.1
66	62.3	-0.1
67	63.8	-0.1
68	64.8	-0.1
69	65.4	-0.1
70	65.5	-0.1
71	65.2	-0.1
72	64.5	-0.1
73	63.5	-0.1
74	62.1	-0.1
75	60.4	-0.1
76	58.4	-0.1
77	56.2	-0.1
78	53.6	-0.1
79	50.9	-0.1
80	47.8	-0.1
81	44.6	-0.1
82	41.2	-0.1
83	37.7	-0.1
84	34.1	-0.1
85	30.4	-0.1
86	26.9	-0.1
87	23.4	-0.1
88	20.1	-0.1
89	17.0	-0.1
90	14.2	-0.1
91	11.7	-0.1
92	9.6	-0.1
93	7.9	-0.1
94	6.6	-0.1
95	5.8	-0.1
96	5.5	-0.1
97	5.7	-0.1
98	6.1	-0.1
99	6.8	-0.1
100	7.7	-0.1
101	8.5	-0.1
