	Gait LB - IOR 5.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL
ITEM	X	X
1	-5.6	-4.2
2	-5.7	-4.2
3	-5.8	-4.2
4	-6.0	-4.2
5	-6.1	-4.2
6	-6.3	-4.2
7	-6.4	-4.2
8	-6.5	-4.2
9	-6.6	-4.2
10	-6.5	-4.2
11	-6.4	-4.2
12	-6.2	-4.2
13	-6.0	-4.2
14	-5.8	-4.2
15	-5.6	-4.2
16	-5.5	-4.2
17	-5.3	-4.2
18	-5.3	-4.2
19	-5.2	-4.2
20	-5.2	-4.2
21	-5.1	-4.2
22	-5.1	-4.2
23	-5.0	-4.2
24	-4.9	-4.2
25	-4.8	-4.2
26	-4.6	-4.2
27	-4.5	-4.2
28	-4.3	-4.2
29	-4.2	-4.2
30	-4.1	-4.2
31	-4.0	-4.2
32	-3.9	-4.2
33	-3.9	-4.2
34	-3.9	-4.2
35	-3.9	-4.2
36	-4.0	-4.2
37	-4.0	-4.2
38	-4.1	-4.2
39	-4.2	-4.2
40	-4.4	-4.2
41	-4.5	-4.2
42	-4.7	-4.2
43	-4.9	-4.2
44	-5.1	-4.2
45	-5.2	-4.2
46	-5.4	-4.2
47	-5.6	-4.2
48	-5.8	-4.2
49	-6.0	-4.2
50	-6.2	-4.2
51	-6.4	-4.2
52	-6.5	-4.2
53	-6.7	-4.2
54	-6.9	-4.2
55	-7.0	-4.2
56	-7.1	-4.2
57	-7.2	-4.2
58	-7.2	-4.2
59	-7.2	-4.2
60	-7.1	-4.2
61	-7.0	-4.2
62	-6.8	-4.2
63	-6.6	-4.2
64	-6.4	-4.2
65	-6.1	-4.2
66	-5.9	-4.2
67	-5.8	-4.2
68	-5.6	-4.2
69	-5.5	-4.2
70	-5.3	-4.2
71	-5.2	-4.2
72	-5.0	-4.2
73	-4.9	-4.2
74	-4.7	-4.2
75	-4.5	-4.2
76	-4.3	-4.2
77	-4.1	-4.2
78	-4.0	-4.2
79	-3.8	-4.2
80	-3.7	-4.2
81	-3.6	-4.2
82	-3.5	-4.2
83	-3.5	-4.2
84	-3.6	-4.2
85	-3.7	-4.2
86	-3.8	-4.2
87	-3.9	-4.2
88	-4.1	-4.2
89	-4.3	-4.2
90	-4.4	-4.2
91	-4.6	-4.2
92	-4.7	-4.2
93	-4.8	-4.2
94	-4.9	-4.2
95	-5.0	-4.2
96	-5.1	-4.2
97	-5.2	-4.2
98	-5.3	-4.2
99	-5.3	-4.2
100	-5.4	-4.2
101	-5.5	-4.2
