	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles	Right Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	12.9	13.1	14.1	16.4
2	12.3	12.9	13.8	16.4
3	11.7	12.6	13.5	16.4
4	11.2	12.2	13.1	16.4
5	10.7	11.8	12.7	16.4
6	10.4	11.4	12.4	16.4
7	10.2	11.1	12.1	16.4
8	10.2	10.8	11.8	16.4
9	10.4	10.6	11.7	16.4
10	10.7	10.5	11.6	16.4
11	11.0	10.5	11.6	16.4
12	11.5	10.6	11.7	16.4
13	11.9	10.9	11.8	16.4
14	12.4	11.1	11.9	16.4
15	12.9	11.5	11.9	16.4
16	13.4	11.9	11.9	16.4
17	13.9	12.3	11.9	16.4
18	14.4	12.8	11.9	16.4
19	14.8	13.3	11.9	16.4
20	15.3	13.8	11.9	16.4
21	15.7	14.3	11.9	16.4
22	16.0	14.8	11.9	16.4
23	16.3	15.2	12.0	16.4
24	16.6	15.6	12.0	16.4
25	16.8	15.9	12.1	16.4
26	17.0	16.2	12.2	16.4
27	17.2	16.4	12.2	16.4
28	17.3	16.6	12.3	16.4
29	17.4	16.7	12.5	16.4
30	17.4	16.8	12.6	16.4
31	17.4	16.9	12.7	16.4
32	17.4	16.9	12.8	16.4
33	17.3	16.8	13.0	16.4
34	17.2	16.7	13.1	16.4
35	17.0	16.6	13.2	16.4
36	16.8	16.4	13.4	16.4
37	16.6	16.2	13.5	16.4
38	16.4	16.1	13.6	16.4
39	16.2	15.9	13.6	16.4
40	16.0	15.7	13.7	16.4
41	15.8	15.6	13.7	16.4
42	15.6	15.5	13.7	16.4
43	15.5	15.5	13.7	16.4
44	15.3	15.5	13.7	16.4
45	15.2	15.5	13.7	16.4
46	15.2	15.5	13.8	16.4
47	15.1	15.6	13.9	16.4
48	15.1	15.7	14.1	16.4
49	15.1	15.8	14.2	16.4
50	15.1	16.0	14.5	16.4
51	15.3	16.3	14.7	16.4
52	15.5	16.6	15.0	16.4
53	15.8	17.0	15.3	16.4
54	16.2	17.6	15.8	16.4
55	16.8	18.2	16.3	16.4
56	17.4	18.9	16.8	16.4
57	18.1	19.6	17.5	16.4
58	18.8	20.2	18.1	16.4
59	19.2	20.6	18.6	16.4
60	19.3	20.6	18.8	16.4
61	19.1	20.3	18.8	16.4
62	18.6	19.7	18.5	16.4
63	17.8	18.8	17.8	16.4
64	16.9	17.9	16.9	16.4
65	15.9	16.9	15.9	16.4
66	15.0	16.0	14.8	16.4
67	14.2	15.2	13.9	16.4
68	13.6	14.6	13.1	16.4
69	13.2	14.2	12.6	16.4
70	12.9	13.8	12.2	16.4
71	12.7	13.6	12.0	16.4
72	12.5	13.4	11.9	16.4
73	12.4	13.1	11.8	16.4
74	12.3	12.8	11.7	16.4
75	12.2	12.5	11.6	16.4
76	12.0	12.2	11.3	16.4
77	11.8	11.8	11.0	16.4
78	11.5	11.4	10.7	16.4
79	11.3	11.1	10.3	16.4
80	11.0	10.8	10.0	16.4
81	10.9	10.6	9.8	16.4
82	10.8	10.5	9.6	16.4
83	10.8	10.4	9.6	16.4
84	10.9	10.5	9.7	16.4
85	11.1	10.7	10.0	16.4
86	11.4	11.0	10.3	16.4
87	11.6	11.3	10.7	16.4
88	11.9	11.6	11.2	16.4
89	12.2	12.0	11.6	16.4
90	12.3	12.3	11.9	16.4
91	12.5	12.6	12.2	16.4
92	12.6	12.9	12.5	16.4
93	12.7	13.2	12.7	16.4
94	12.8	13.4	12.9	16.4
95	13.0	13.6	13.1	16.4
96	13.1	13.7	13.3	16.4
97	13.3	13.7	13.5	16.4
98	13.3	13.6	13.6	16.4
99	13.3	13.4	13.6	16.4
100	13.3	13.1	13.5	16.4
101	13.1	12.7	13.3	16.4
