	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	19.4	20.1	19.3	-0.0
2	16.5	17.8	16.8	-0.0
3	13.5	15.3	14.3	-0.0
4	10.7	12.7	11.8	-0.0
5	8.2	10.2	9.5	-0.0
6	6.1	7.9	7.4	-0.0
7	4.5	6.0	5.7	-0.0
8	3.4	4.4	4.3	-0.0
9	2.6	3.2	3.2	-0.0
10	2.2	2.4	2.4	-0.0
11	1.9	1.9	1.8	-0.0
12	1.9	1.6	1.4	-0.0
13	1.9	1.5	1.1	-0.0
14	1.9	1.4	1.0	-0.0
15	1.9	1.4	0.9	-0.0
16	2.0	1.5	0.9	-0.0
17	2.0	1.5	0.8	-0.0
18	2.1	1.5	0.8	-0.0
19	2.1	1.5	0.8	-0.0
20	2.1	1.4	0.8	-0.0
21	2.1	1.4	0.8	-0.0
22	2.1	1.3	0.7	-0.0
23	2.1	1.3	0.7	-0.0
24	2.1	1.2	0.6	-0.0
25	2.1	1.1	0.5	-0.0
26	2.1	1.1	0.5	-0.0
27	2.0	1.0	0.4	-0.0
28	2.0	0.9	0.4	-0.0
29	1.9	0.8	0.3	-0.0
30	1.7	0.6	0.2	-0.0
31	1.6	0.5	0.2	-0.0
32	1.4	0.3	0.1	-0.0
33	1.3	0.1	0.1	-0.0
34	1.1	-0.1	0.0	-0.0
35	0.9	-0.3	-0.1	-0.0
36	0.7	-0.5	-0.2	-0.0
37	0.4	-0.8	-0.3	-0.0
38	0.2	-1.1	-0.4	-0.0
39	-0.1	-1.4	-0.6	-0.0
40	-0.4	-1.8	-0.9	-0.0
41	-0.7	-2.3	-1.1	-0.0
42	-1.2	-2.9	-1.5	-0.0
43	-1.7	-3.5	-1.9	-0.0
44	-2.3	-4.3	-2.5	-0.0
45	-3.1	-5.3	-3.1	-0.0
46	-4.0	-6.3	-3.9	-0.0
47	-5.1	-7.5	-4.8	-0.0
48	-6.3	-9.0	-5.9	-0.0
49	-7.8	-10.6	-7.1	-0.0
50	-9.6	-12.4	-8.6	-0.0
51	-11.6	-14.6	-10.3	0.0
52	-14.0	-17.1	-12.4	0.0
53	-16.9	-20.0	-14.8	0.0
54	-20.1	-23.4	-17.6	0.0
55	-23.8	-27.2	-20.9	0.0
56	-28.0	-31.6	-24.6	0.0
57	-32.6	-36.3	-28.8	0.0
58	-37.5	-41.3	-33.4	0.0
59	-42.4	-46.5	-38.2	0.0
60	-47.1	-51.3	-43.1	0.0
61	-51.4	-55.7	-47.8	0.0
62	-55.0	-59.3	-52.1	0.0
63	-57.8	-62.0	-55.6	0.0
64	-59.6	-63.7	-58.3	0.0
65	-60.5	-64.4	-60.0	0.0
66	-60.6	-64.2	-60.8	0.0
67	-59.9	-63.2	-60.6	0.0
68	-58.6	-61.6	-59.6	0.0
69	-56.7	-59.4	-58.0	0.0
70	-54.4	-56.8	-55.7	0.0
71	-51.7	-53.8	-53.0	0.0
72	-48.7	-50.5	-49.9	0.0
73	-45.5	-47.0	-46.4	0.0
74	-42.0	-43.2	-42.7	0.0
75	-38.4	-39.4	-38.9	0.0
76	-34.8	-35.4	-35.0	0.0
77	-31.1	-31.4	-31.0	0.0
78	-27.3	-27.4	-27.0	0.0
79	-23.4	-23.3	-23.1	0.0
80	-19.6	-19.2	-19.2	0.0
81	-15.7	-15.1	-15.5	0.0
82	-11.7	-11.1	-11.8	0.0
83	-7.8	-7.2	-8.4	0.0
84	-3.9	-3.4	-5.2	0.0
85	-0.1	0.3	-2.3	0.0
86	3.7	3.7	0.4	0.0
87	7.2	7.0	2.8	0.0
88	10.6	10.1	5.0	0.0
89	13.7	13.0	7.1	0.0
90	16.5	15.7	9.2	0.0
91	18.9	18.1	11.4	0.0
92	21.1	20.2	13.6	0.0
93	22.8	21.8	15.8	0.0
94	24.1	23.0	17.9	0.0
95	24.9	23.7	19.8	0.0
96	25.3	23.9	21.2	0.0
97	25.2	23.4	22.2	0.0
98	24.6	22.5	22.7	0.0
99	23.5	21.0	22.5	0.0
100	22.0	19.1	21.7	0.0
101	20.1	16.8	20.3	0.0
