	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	-10.1	-9.8	-12.1	-10.6
2	-9.9	-9.8	-11.6	-10.6
3	-9.8	-9.9	-11.1	-10.6
4	-9.6	-9.9	-10.8	-10.6
5	-9.4	-9.8	-10.5	-10.6
6	-9.1	-9.7	-10.2	-10.6
7	-8.8	-9.6	-10.0	-10.6
8	-8.6	-9.4	-9.9	-10.6
9	-8.4	-9.3	-9.9	-10.6
10	-8.3	-9.2	-9.9	-10.6
11	-8.2	-9.2	-9.9	-10.6
12	-8.2	-9.1	-10.0	-10.6
13	-8.2	-9.1	-10.0	-10.6
14	-8.1	-9.2	-10.0	-10.6
15	-8.1	-9.2	-10.0	-10.6
16	-8.1	-9.2	-10.0	-10.6
17	-8.1	-9.2	-10.0	-10.6
18	-8.0	-9.2	-10.0	-10.6
19	-8.1	-9.2	-9.9	-10.6
20	-8.1	-9.2	-9.9	-10.6
21	-8.1	-9.2	-9.8	-10.6
22	-8.2	-9.1	-9.8	-10.6
23	-8.3	-9.1	-9.7	-10.6
24	-8.3	-9.1	-9.7	-10.6
25	-8.4	-9.2	-9.7	-10.6
26	-8.5	-9.2	-9.7	-10.6
27	-8.6	-9.2	-9.7	-10.6
28	-8.7	-9.3	-9.7	-10.6
29	-8.7	-9.4	-9.7	-10.6
30	-8.8	-9.4	-9.7	-10.6
31	-8.9	-9.5	-9.7	-10.6
32	-8.9	-9.5	-9.7	-10.6
33	-9.0	-9.6	-9.8	-10.6
34	-9.0	-9.6	-9.8	-10.6
35	-9.1	-9.7	-9.8	-10.6
36	-9.1	-9.8	-9.8	-10.6
37	-9.2	-9.9	-9.9	-10.6
38	-9.3	-10.1	-10.0	-10.6
39	-9.4	-10.2	-10.0	-10.6
40	-9.5	-10.4	-10.1	-10.6
41	-9.7	-10.6	-10.2	-10.6
42	-9.8	-10.7	-10.3	-10.6
43	-9.9	-10.8	-10.4	-10.6
44	-10.0	-10.9	-10.5	-10.6
45	-10.0	-10.9	-10.6	-10.6
46	-10.0	-10.8	-10.7	-10.6
47	-9.8	-10.6	-10.7	-10.6
48	-9.6	-10.4	-10.7	-10.6
49	-9.3	-10.0	-10.5	-10.6
50	-9.0	-9.6	-10.3	-10.6
51	-8.6	-9.1	-9.9	-10.6
52	-8.2	-8.7	-9.5	-10.6
53	-7.8	-8.2	-9.0	-10.6
54	-7.5	-7.8	-8.5	-10.6
55	-7.2	-7.4	-7.9	-10.6
56	-6.9	-7.0	-7.4	-10.6
57	-6.8	-6.7	-7.0	-10.6
58	-6.8	-6.4	-6.7	-10.6
59	-6.9	-6.3	-6.6	-10.6
60	-7.2	-6.2	-6.7	-10.6
61	-7.7	-6.3	-7.0	-10.6
62	-8.3	-6.7	-7.6	-10.6
63	-9.2	-7.3	-8.5	-10.6
64	-10.2	-8.1	-9.7	-10.6
65	-11.3	-9.2	-11.2	-10.6
66	-12.5	-10.4	-12.7	-10.6
67	-13.7	-11.6	-14.3	-10.6
68	-14.7	-12.7	-15.7	-10.6
69	-15.5	-13.7	-17.0	-10.6
70	-16.2	-14.6	-18.0	-10.6
71	-16.7	-15.3	-18.7	-10.6
72	-17.1	-15.8	-19.2	-10.6
73	-17.4	-16.3	-19.5	-10.6
74	-17.6	-16.6	-19.7	-10.6
75	-17.8	-16.9	-19.7	-10.6
76	-17.9	-17.2	-19.8	-10.6
77	-18.0	-17.4	-19.8	-10.6
78	-18.1	-17.6	-19.8	-10.6
79	-18.2	-17.9	-19.9	-10.6
80	-18.4	-18.1	-20.0	-10.6
81	-18.6	-18.4	-20.1	-10.6
82	-18.9	-18.7	-20.4	-10.6
83	-19.1	-18.9	-20.7	-10.6
84	-19.3	-19.1	-21.2	-10.6
85	-19.4	-19.3	-21.7	-10.6
86	-19.4	-19.2	-22.2	-10.6
87	-19.3	-19.0	-22.6	-10.6
88	-19.0	-18.6	-23.0	-10.6
89	-18.5	-18.0	-23.2	-10.6
90	-17.7	-17.1	-23.2	-10.6
91	-16.8	-16.1	-23.0	-10.6
92	-15.7	-15.1	-22.6	-10.6
93	-14.6	-14.1	-21.9	-10.6
94	-13.4	-13.2	-21.1	-10.6
95	-12.4	-12.4	-20.1	-10.6
96	-11.5	-11.9	-19.0	-10.6
97	-10.7	-11.5	-17.9	-10.6
98	-10.2	-11.3	-16.8	-10.6
99	-9.9	-11.2	-15.9	-10.6
100	-9.8	-11.2	-15.0	-10.6
101	-9.8	-11.1	-14.2	-10.6
