	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y
1	-0.0047	-0.0053	-0.0037
2	-0.0258	-0.0229	-0.0037
3	-0.0617	-0.0525	-0.0037
4	-0.1039	-0.0826	-0.0037
5	-0.1196	-0.0856	-0.0037
6	-0.1151	-0.0754	-0.0037
7	-0.1362	-0.0889	-0.0037
8	-0.1682	-0.1214	-0.0037
9	-0.1779	-0.1408	-0.0037
10	-0.1793	-0.1449	-0.0037
11	-0.1773	-0.1496	-0.0037
12	-0.1665	-0.1514	-0.0037
13	-0.1515	-0.1496	-0.0037
14	-0.1337	-0.1470	-0.0037
15	-0.1147	-0.1423	-0.0037
16	-0.0973	-0.1354	-0.0037
17	-0.0836	-0.1268	-0.0037
18	-0.0729	-0.1169	-0.0037
19	-0.0626	-0.1046	-0.0037
20	-0.0532	-0.0898	-0.0037
21	-0.0458	-0.0753	-0.0037
22	-0.0389	-0.0629	-0.0037
23	-0.0320	-0.0525	-0.0037
24	-0.0252	-0.0436	-0.0037
25	-0.0175	-0.0370	-0.0037
26	-0.0093	-0.0323	-0.0037
27	-0.0015	-0.0276	-0.0037
28	0.0060	-0.0222	-0.0037
29	0.0133	-0.0166	-0.0037
30	0.0195	-0.0100	-0.0037
31	0.0237	-0.0025	-0.0037
32	0.0258	0.0049	-0.0037
33	0.0255	0.0117	-0.0037
34	0.0239	0.0177	-0.0037
35	0.0233	0.0234	-0.0037
36	0.0243	0.0301	-0.0037
37	0.0258	0.0366	-0.0037
38	0.0272	0.0397	-0.0037
39	0.0295	0.0378	-0.0037
40	0.0348	0.0320	-0.0037
41	0.0451	0.0248	-0.0037
42	0.0585	0.0208	-0.0037
43	0.0735	0.0232	-0.0037
44	0.0900	0.0332	-0.0037
45	0.1060	0.0501	-0.0037
46	0.1228	0.0691	-0.0037
47	0.1392	0.0892	-0.0037
48	0.1543	0.1090	-0.0037
49	0.1679	0.1268	-0.0037
50	0.1799	0.1428	-0.0037
51	0.1903	0.1570	-0.0037
52	0.1987	0.1687	-0.0037
53	0.2024	0.1766	-0.0037
54	0.1967	0.1794	-0.0037
55	0.1803	0.1752	-0.0037
56	0.1563	0.1629	-0.0037
57	0.1188	0.1439	-0.0037
58	0.0633	0.1155	-0.0037
59	0.0178	0.0681	-0.0037
60	0.0004	0.0214	-0.0037
61	-0.0039	0.0009	-0.0037
62	0.0003	-0.0050	-0.0037
63	-0.0001	-0.0007	-0.0037
64	0.0000	0.0001	-0.0037
65	-0.0000	0.0000	-0.0037
66	0.0000	-0.0000	-0.0037
67	-0.0000	0.0000	-0.0037
68	-0.0000	-0.0000	-0.0037
69	0.0000	0.0000	-0.0037
70	-0.0000	-0.0000	-0.0037
71	0.0000	0.0000	-0.0037
72	-0.0000	-0.0000	-0.0037
73	0.0000	0.0000	-0.0037
74	-0.0000	0.0000	-0.0037
75	-0.0000	-0.0000	-0.0037
76	0.0000	0.0000	-0.0037
77	-0.0000	-0.0000	-0.0037
78	0.0000	0.0000	-0.0037
79	-0.0000	-0.0000	-0.0037
80	0.0000	0.0000	-0.0037
81	0.0000	-0.0000	-0.0037
82	-0.0000	0.0000	-0.0037
83	0.0000	0.0000	-0.0037
84	-0.0000	-0.0000	-0.0037
85	0.0000	0.0000	-0.0037
86	-0.0000	-0.0000	-0.0037
87	0.0000	0.0000	-0.0037
88	0.0000	-0.0000	-0.0037
89	-0.0000	0.0000	-0.0037
90	0.0000	-0.0000	-0.0037
91	-0.0000	0.0000	-0.0037
92	0.0000	0.0000	-0.0037
93	-0.0000	-0.0000	-0.0037
94	0.0000	0.0000	-0.0037
95	0.0000	-0.0000	-0.0037
96	-0.0000	0.0000	-0.0037
97	0.0000	-0.0000	-0.0037
98	-0.0000	0.0000	-0.0037
99	0.0000	-0.0000	-0.0036
100	-0.0000	0.0000	-0.0036
101	0.0000	0.0000	-0.0036
