	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	18.7	17.7	16.5	-9.1
2	18.5	17.3	16.9	-9.1
3	18.1	16.9	17.3	-9.1
4	17.7	16.4	17.5	-9.1
5	17.1	15.7	17.5	-9.1
6	16.5	15.0	17.5	-9.1
7	15.8	14.2	17.2	-9.1
8	15.0	13.4	16.8	-9.1
9	14.2	12.6	16.1	-9.1
10	13.3	11.7	15.4	-9.1
11	12.4	10.9	14.6	-9.1
12	11.4	10.0	13.7	-9.1
13	10.5	9.2	12.7	-9.1
14	9.5	8.4	11.8	-9.1
15	8.5	7.5	10.9	-9.1
16	7.4	6.6	10.0	-9.1
17	6.4	5.7	9.1	-9.1
18	5.5	4.8	8.2	-9.1
19	4.5	3.9	7.2	-9.1
20	3.6	3.0	6.2	-9.1
21	2.7	2.1	5.1	-9.1
22	1.8	1.2	4.0	-9.1
23	0.9	0.3	2.9	-9.1
24	0.1	-0.7	1.8	-9.1
25	-0.7	-1.5	0.7	-9.1
26	-1.5	-2.4	-0.4	-9.1
27	-2.3	-3.3	-1.5	-9.1
28	-3.1	-4.1	-2.5	-9.1
29	-3.9	-5.0	-3.5	-9.1
30	-4.8	-5.8	-4.4	-9.1
31	-5.6	-6.6	-5.4	-9.1
32	-6.5	-7.5	-6.4	-9.1
33	-7.5	-8.3	-7.4	-9.1
34	-8.4	-9.1	-8.4	-9.1
35	-9.4	-10.0	-9.4	-9.1
36	-10.3	-10.9	-10.4	-9.1
37	-11.3	-11.9	-11.5	-9.1
38	-12.3	-12.8	-12.5	-9.1
39	-13.3	-13.8	-13.5	-9.1
40	-14.3	-14.7	-14.5	-9.1
41	-15.2	-15.6	-15.5	-9.1
42	-16.0	-16.5	-16.4	-9.1
43	-16.8	-17.4	-17.2	-9.1
44	-17.6	-18.1	-18.1	-9.1
45	-18.2	-18.9	-18.9	-9.1
46	-18.9	-19.5	-19.7	-9.1
47	-19.5	-20.1	-20.5	-9.1
48	-20.0	-20.6	-21.2	-9.1
49	-20.5	-21.1	-21.9	-9.1
50	-20.9	-21.4	-22.5	-9.1
51	-21.1	-21.6	-23.0	-9.1
52	-21.3	-21.7	-23.4	-9.1
53	-21.2	-21.6	-23.6	-9.1
54	-21.0	-21.3	-23.6	-9.1
55	-20.5	-20.8	-23.4	-9.1
56	-19.8	-20.0	-22.9	-9.1
57	-18.8	-18.9	-22.1	-9.1
58	-17.6	-17.6	-21.1	-9.1
59	-16.0	-16.0	-19.7	-9.1
60	-14.2	-14.2	-18.1	-9.1
61	-12.3	-12.2	-16.3	-9.1
62	-10.1	-10.0	-14.3	-9.1
63	-7.9	-7.8	-12.1	-9.1
64	-5.7	-5.5	-10.0	-9.1
65	-3.5	-3.4	-7.8	-9.1
66	-1.3	-1.2	-5.7	-9.1
67	0.8	0.7	-3.6	-9.1
68	2.7	2.6	-1.7	-9.1
69	4.6	4.4	0.1	-9.1
70	6.3	6.0	1.9	-9.1
71	8.0	7.5	3.6	-9.1
72	9.6	9.0	5.2	-9.1
73	11.1	10.3	6.7	-9.1
74	12.5	11.6	8.2	-9.1
75	13.9	12.8	9.7	-9.1
76	15.2	14.0	11.1	-9.1
77	16.4	15.0	12.5	-9.1
78	17.5	15.9	13.9	-9.1
79	18.4	16.7	15.2	-9.1
80	19.2	17.4	16.3	-9.1
81	19.8	17.8	17.4	-9.1
82	20.3	18.1	18.3	-9.1
83	20.5	18.3	19.0	-9.1
84	20.6	18.2	19.6	-9.1
85	20.6	18.1	20.0	-9.1
86	20.4	17.8	20.3	-9.1
87	20.2	17.5	20.4	-9.1
88	19.9	17.2	20.5	-9.1
89	19.5	16.8	20.4	-9.1
90	19.2	16.5	20.3	-9.1
91	18.9	16.3	20.1	-9.1
92	18.6	16.1	19.9	-9.1
93	18.4	16.1	19.7	-9.1
94	18.3	16.1	19.4	-9.1
95	18.2	16.2	19.2	-9.1
96	18.1	16.4	19.0	-9.1
97	18.1	16.5	18.8	-9.1
98	18.1	16.7	18.7	-9.1
99	18.0	16.8	18.5	-9.1
100	17.9	16.8	18.5	-9.1
101	17.7	16.7	18.4	-9.1
