	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Knee Angles	Right Knee Angles	Right Knee Angles	Right Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	1.87	1.64	1.41	2.12
2	1.94	1.69	1.39	2.12
3	2.04	1.76	1.44	2.12
4	2.16	1.84	1.54	2.12
5	2.28	1.92	1.68	2.12
6	2.43	2.01	1.84	2.12
7	2.58	2.11	1.97	2.12
8	2.73	2.23	2.06	2.12
9	2.89	2.36	2.11	2.12
10	3.05	2.51	2.15	2.12
11	3.21	2.67	2.18	2.12
12	3.35	2.83	2.22	2.12
13	3.47	2.98	2.28	2.12
14	3.57	3.10	2.35	2.12
15	3.64	3.19	2.42	2.12
16	3.68	3.26	2.49	2.12
17	3.70	3.29	2.56	2.12
18	3.70	3.29	2.62	2.12
19	3.68	3.27	2.69	2.12
20	3.66	3.24	2.75	2.12
21	3.63	3.21	2.82	2.12
22	3.59	3.18	2.87	2.12
23	3.56	3.15	2.91	2.12
24	3.52	3.13	2.93	2.12
25	3.49	3.12	2.93	2.12
26	3.45	3.12	2.92	2.12
27	3.41	3.12	2.91	2.12
28	3.38	3.13	2.89	2.12
29	3.34	3.13	2.88	2.13
30	3.30	3.13	2.88	2.13
31	3.25	3.12	2.89	2.13
32	3.20	3.11	2.90	2.13
33	3.15	3.10	2.92	2.13
34	3.09	3.08	2.93	2.13
35	3.04	3.07	2.95	2.13
36	3.01	3.06	2.96	2.13
37	2.98	3.05	2.96	2.13
38	2.97	3.05	2.97	2.13
39	2.97	3.04	2.96	2.13
40	2.98	3.05	2.96	2.13
41	3.00	3.05	2.96	2.13
42	3.02	3.05	2.96	2.13
43	3.03	3.04	2.96	2.13
44	3.03	3.03	2.96	2.13
45	3.01	2.99	2.96	2.13
46	2.96	2.94	2.94	2.13
47	2.89	2.86	2.90	2.13
48	2.79	2.76	2.83	2.13
49	2.66	2.64	2.73	2.13
50	2.52	2.51	2.59	2.13
51	2.38	2.39	2.42	2.13
52	2.25	2.28	2.23	2.13
53	2.14	2.19	2.04	2.13
54	2.07	2.13	1.85	2.13
55	2.01	2.07	1.70	2.13
56	1.93	1.98	1.58	2.13
57	1.79	1.80	1.46	2.13
58	1.51	1.47	1.30	2.13
59	1.06	0.96	1.05	2.13
60	0.44	0.29	0.67	2.13
61	-0.29	-0.49	0.13	2.13
62	-1.04	-1.28	-0.51	2.13
63	-1.71	-1.98	-1.21	2.13
64	-2.22	-2.52	-1.88	2.13
65	-2.55	-2.87	-2.44	2.13
66	-2.70	-3.05	-2.86	2.13
67	-2.70	-3.07	-3.12	2.13
68	-2.60	-3.00	-3.24	2.13
69	-2.44	-2.86	-3.24	2.13
70	-2.24	-2.67	-3.14	2.13
71	-2.00	-2.44	-2.96	2.13
72	-1.74	-2.17	-2.72	2.13
73	-1.45	-1.82	-2.41	2.13
74	-1.12	-1.41	-2.01	2.13
75	-0.72	-0.92	-1.54	2.13
76	-0.26	-0.38	-0.96	2.13
77	0.26	0.21	-0.27	2.13
78	0.83	0.82	0.50	2.13
79	1.43	1.42	1.35	2.13
80	2.02	2.00	2.25	2.13
81	2.58	2.52	3.13	2.13
82	3.07	2.97	3.94	2.13
83	3.45	3.33	4.64	2.13
84	3.71	3.57	5.16	2.13
85	3.85	3.70	5.48	2.13
86	3.86	3.70	5.59	2.13
87	3.76	3.60	5.50	2.13
88	3.57	3.41	5.23	2.13
89	3.32	3.17	4.84	2.13
90	3.02	2.90	4.38	2.13
91	2.72	2.64	3.90	2.13
92	2.44	2.40	3.46	2.13
93	2.18	2.21	3.07	2.13
94	1.97	2.06	2.74	2.13
95	1.81	1.94	2.49	2.13
96	1.69	1.86	2.29	2.13
97	1.61	1.79	2.14	2.13
98	1.58	1.74	2.03	2.13
99	1.58	1.71	1.95	2.13
100	1.60	1.70	1.91	2.13
101	1.64	1.71	1.89	2.13
