	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	3.42	-0.46	-0.78	-2.80
2	3.55	-0.35	-0.83	-2.80
3	3.66	-0.27	-0.93	-2.80
4	3.73	-0.22	-1.08	-2.80
5	3.77	-0.21	-1.26	-2.80
6	3.78	-0.23	-1.45	-2.80
7	3.76	-0.28	-1.64	-2.80
8	3.73	-0.33	-1.79	-2.80
9	3.70	-0.39	-1.90	-2.80
10	3.69	-0.42	-1.95	-2.80
11	3.69	-0.43	-1.97	-2.80
12	3.70	-0.42	-1.94	-2.80
13	3.72	-0.38	-1.89	-2.80
14	3.73	-0.34	-1.82	-2.80
15	3.70	-0.31	-1.75	-2.80
16	3.62	-0.32	-1.68	-2.80
17	3.45	-0.39	-1.63	-2.80
18	3.19	-0.54	-1.60	-2.80
19	2.83	-0.78	-1.61	-2.80
20	2.38	-1.10	-1.65	-2.80
21	1.85	-1.50	-1.74	-2.80
22	1.27	-1.95	-1.87	-2.80
23	0.66	-2.43	-2.04	-2.80
24	0.05	-2.91	-2.25	-2.80
25	-0.55	-3.38	-2.47	-2.80
26	-1.12	-3.81	-2.72	-2.80
27	-1.66	-4.20	-2.96	-2.80
28	-2.17	-4.55	-3.21	-2.80
29	-2.65	-4.85	-3.44	-2.80
30	-3.09	-5.10	-3.65	-2.80
31	-3.49	-5.31	-3.84	-2.80
32	-3.87	-5.47	-4.02	-2.80
33	-4.21	-5.61	-4.17	-2.80
34	-4.52	-5.71	-4.30	-2.80
35	-4.80	-5.79	-4.42	-2.80
36	-5.05	-5.85	-4.53	-2.80
37	-5.28	-5.89	-4.63	-2.80
38	-5.49	-5.92	-4.75	-2.80
39	-5.68	-5.94	-4.87	-2.80
40	-5.86	-5.98	-5.01	-2.80
41	-6.04	-6.02	-5.18	-2.80
42	-6.21	-6.08	-5.37	-2.80
43	-6.36	-6.14	-5.57	-2.80
44	-6.48	-6.22	-5.78	-2.80
45	-6.57	-6.28	-5.97	-2.80
46	-6.62	-6.34	-6.13	-2.80
47	-6.63	-6.37	-6.25	-2.80
48	-6.61	-6.37	-6.30	-2.80
49	-6.56	-6.34	-6.29	-2.80
50	-6.50	-6.28	-6.22	-2.80
51	-6.43	-6.20	-6.10	-2.80
52	-6.36	-6.10	-5.94	-2.80
53	-6.30	-5.97	-5.76	-2.80
54	-6.22	-5.82	-5.57	-2.80
55	-6.14	-5.65	-5.38	-2.80
56	-6.04	-5.46	-5.22	-2.80
57	-5.94	-5.28	-5.11	-2.80
58	-5.84	-5.12	-5.05	-2.80
59	-5.76	-5.01	-5.05	-2.80
60	-5.71	-4.94	-5.13	-2.80
61	-5.69	-4.94	-5.27	-2.80
62	-5.71	-4.99	-5.45	-2.80
63	-5.75	-5.07	-5.66	-2.80
64	-5.81	-5.16	-5.88	-2.80
65	-5.86	-5.23	-6.09	-2.80
66	-5.89	-5.26	-6.25	-2.80
67	-5.87	-5.22	-6.36	-2.80
68	-5.80	-5.10	-6.41	-2.80
69	-5.66	-4.90	-6.38	-2.80
70	-5.46	-4.61	-6.27	-2.80
71	-5.19	-4.26	-6.08	-2.80
72	-4.89	-3.85	-5.83	-2.80
73	-4.54	-3.41	-5.52	-2.80
74	-4.18	-2.96	-5.18	-2.80
75	-3.82	-2.52	-4.80	-2.80
76	-3.47	-2.10	-4.42	-2.80
77	-3.14	-1.72	-4.04	-2.80
78	-2.85	-1.37	-3.67	-2.80
79	-2.58	-1.07	-3.31	-2.80
80	-2.35	-0.80	-2.96	-2.80
81	-2.15	-0.58	-2.63	-2.80
82	-1.98	-0.40	-2.32	-2.80
83	-1.83	-0.25	-2.03	-2.80
84	-1.70	-0.13	-1.77	-2.80
85	-1.59	-0.04	-1.55	-2.80
86	-1.49	0.03	-1.37	-2.80
87	-1.40	0.10	-1.24	-2.80
88	-1.32	0.17	-1.15	-2.80
89	-1.25	0.24	-1.09	-2.80
90	-1.19	0.31	-1.05	-2.80
91	-1.14	0.38	-1.01	-2.80
92	-1.09	0.45	-0.96	-2.80
93	-1.04	0.50	-0.89	-2.80
94	-1.00	0.54	-0.79	-2.80
95	-0.95	0.56	-0.67	-2.80
96	-0.90	0.57	-0.52	-2.80
97	-0.84	0.58	-0.36	-2.80
98	-0.76	0.60	-0.20	-2.80
99	-0.67	0.63	-0.04	-2.80
100	-0.57	0.69	0.11	-2.80
101	-0.46	0.77	0.25	-2.80
