	Gait LB - IOR 5.c3d	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X
1	-5.5	-6.2	-7.0	-4.2
2	-5.6	-6.4	-7.0	-4.2
3	-5.8	-6.6	-7.1	-4.2
4	-5.9	-6.7	-7.2	-4.2
5	-6.0	-6.9	-7.3	-4.2
6	-6.1	-7.0	-7.4	-4.2
7	-6.2	-7.1	-7.5	-4.2
8	-6.2	-7.2	-7.5	-4.2
9	-6.2	-7.2	-7.5	-4.2
10	-6.2	-7.2	-7.5	-4.2
11	-6.1	-7.1	-7.4	-4.2
12	-5.9	-6.9	-7.3	-4.2
13	-5.8	-6.7	-7.2	-4.2
14	-5.6	-6.5	-7.0	-4.2
15	-5.5	-6.3	-6.7	-4.2
16	-5.3	-6.1	-6.5	-4.2
17	-5.2	-5.9	-6.3	-4.2
18	-5.0	-5.7	-6.1	-4.2
19	-4.9	-5.6	-5.9	-4.2
20	-4.7	-5.4	-5.8	-4.2
21	-4.6	-5.3	-5.7	-4.2
22	-4.4	-5.1	-5.7	-4.2
23	-4.2	-5.0	-5.6	-4.2
24	-4.1	-4.8	-5.6	-4.2
25	-3.9	-4.6	-5.6	-4.2
26	-3.7	-4.4	-5.5	-4.2
27	-3.5	-4.3	-5.4	-4.2
28	-3.3	-4.1	-5.3	-4.2
29	-3.2	-3.9	-5.2	-4.2
30	-3.1	-3.7	-5.1	-4.2
31	-3.0	-3.6	-4.9	-4.2
32	-3.0	-3.6	-4.8	-4.2
33	-3.0	-3.5	-4.7	-4.2
34	-3.1	-3.6	-4.6	-4.2
35	-3.2	-3.6	-4.5	-4.2
36	-3.4	-3.7	-4.5	-4.2
37	-3.6	-3.9	-4.6	-4.2
38	-3.8	-4.0	-4.7	-4.2
39	-4.0	-4.2	-4.8	-4.2
40	-4.2	-4.3	-4.9	-4.2
41	-4.4	-4.5	-5.0	-4.2
42	-4.6	-4.6	-5.1	-4.2
43	-4.8	-4.8	-5.3	-4.2
44	-4.9	-4.9	-5.4	-4.2
45	-5.1	-5.0	-5.5	-4.2
46	-5.2	-5.1	-5.7	-4.2
47	-5.3	-5.2	-5.8	-4.2
48	-5.3	-5.2	-5.9	-4.2
49	-5.4	-5.3	-6.1	-4.2
50	-5.5	-5.4	-6.2	-4.2
51	-5.6	-5.4	-6.3	-4.2
52	-5.7	-5.5	-6.5	-4.2
53	-5.8	-5.6	-6.6	-4.2
54	-6.0	-5.7	-6.7	-4.2
55	-6.1	-5.8	-6.9	-4.2
56	-6.3	-6.0	-7.0	-4.2
57	-6.4	-6.1	-7.1	-4.2
58	-6.5	-6.2	-7.2	-4.2
59	-6.6	-6.2	-7.2	-4.2
60	-6.5	-6.2	-7.3	-4.2
61	-6.4	-6.1	-7.2	-4.2
62	-6.3	-6.0	-7.2	-4.2
63	-6.1	-5.9	-7.1	-4.2
64	-5.8	-5.8	-6.9	-4.2
65	-5.6	-5.7	-6.8	-4.2
66	-5.5	-5.6	-6.7	-4.2
67	-5.4	-5.6	-6.7	-4.2
68	-5.3	-5.6	-6.6	-4.2
69	-5.2	-5.6	-6.6	-4.2
70	-5.2	-5.6	-6.6	-4.2
71	-5.1	-5.7	-6.6	-4.2
72	-5.1	-5.7	-6.6	-4.2
73	-5.0	-5.7	-6.5	-4.2
74	-5.0	-5.7	-6.5	-4.2
75	-4.8	-5.6	-6.3	-4.2
76	-4.7	-5.5	-6.2	-4.2
77	-4.6	-5.4	-6.0	-4.2
78	-4.4	-5.4	-5.7	-4.2
79	-4.3	-5.3	-5.5	-4.2
80	-4.1	-5.2	-5.2	-4.2
81	-4.0	-5.2	-5.0	-4.2
82	-4.0	-5.2	-4.7	-4.2
83	-3.9	-5.3	-4.5	-4.2
84	-3.9	-5.4	-4.4	-4.2
85	-3.9	-5.5	-4.2	-4.2
86	-3.9	-5.6	-4.2	-4.2
87	-4.0	-5.7	-4.1	-4.2
88	-4.1	-5.9	-4.2	-4.2
89	-4.2	-6.0	-4.2	-4.2
90	-4.3	-6.1	-4.3	-4.2
91	-4.4	-6.2	-4.4	-4.2
92	-4.6	-6.3	-4.5	-4.2
93	-4.7	-6.3	-4.7	-4.2
94	-4.9	-6.4	-4.8	-4.2
95	-5.1	-6.5	-5.0	-4.2
96	-5.3	-6.6	-5.1	-4.2
97	-5.5	-6.7	-5.3	-4.2
98	-5.7	-6.8	-5.4	-4.2
99	-5.8	-6.9	-5.6	-4.2
100	-6.0	-7.0	-5.8	-4.2
101	-6.2	-7.1	-6.0	-4.2
