	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC
	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z
1	0.0267	0.0374	0.0293	0.0255	0.0351
2	0.0247	0.0339	0.0282	0.0241	0.0351
3	0.0244	0.0321	0.0286	0.0244	0.0351
4	0.0257	0.0324	0.0299	0.0258	0.0351
5	0.0272	0.0339	0.0312	0.0271	0.0351
6	0.0283	0.0354	0.0322	0.0282	0.0351
7	0.0292	0.0365	0.0329	0.0290	0.0351
8	0.0299	0.0373	0.0333	0.0295	0.0351
9	0.0302	0.0378	0.0335	0.0297	0.0351
10	0.0306	0.0381	0.0337	0.0299	0.0351
11	0.0307	0.0383	0.0337	0.0300	0.0351
12	0.0308	0.0384	0.0338	0.0301	0.0351
13	0.0309	0.0385	0.0338	0.0301	0.0351
14	0.0309	0.0385	0.0338	0.0301	0.0351
15	0.0309	0.0385	0.0338	0.0301	0.0351
16	0.0309	0.0385	0.0338	0.0301	0.0351
17	0.0309	0.0385	0.0338	0.0301	0.0351
18	0.0309	0.0385	0.0338	0.0301	0.0351
19	0.0309	0.0385	0.0339	0.0302	0.0351
20	0.0310	0.0385	0.0341	0.0303	0.0351
21	0.0311	0.0386	0.0343	0.0304	0.0351
22	0.0312	0.0387	0.0345	0.0306	0.0351
23	0.0313	0.0389	0.0348	0.0307	0.0351
24	0.0313	0.0392	0.0351	0.0308	0.0351
25	0.0313	0.0394	0.0354	0.0308	0.0351
26	0.0313	0.0396	0.0357	0.0308	0.0351
27	0.0314	0.0397	0.0360	0.0309	0.0351
28	0.0315	0.0398	0.0364	0.0310	0.0351
29	0.0317	0.0400	0.0367	0.0314	0.0351
30	0.0320	0.0402	0.0372	0.0318	0.0351
31	0.0323	0.0406	0.0376	0.0322	0.0351
32	0.0327	0.0409	0.0380	0.0326	0.0351
33	0.0331	0.0413	0.0384	0.0330	0.0351
34	0.0336	0.0416	0.0389	0.0334	0.0351
35	0.0341	0.0420	0.0395	0.0338	0.0351
36	0.0348	0.0424	0.0402	0.0343	0.0351
37	0.0355	0.0429	0.0411	0.0349	0.0351
38	0.0364	0.0434	0.0422	0.0355	0.0351
39	0.0374	0.0441	0.0435	0.0363	0.0351
40	0.0387	0.0449	0.0450	0.0373	0.0351
41	0.0403	0.0459	0.0468	0.0387	0.0351
42	0.0422	0.0471	0.0489	0.0404	0.0351
43	0.0445	0.0486	0.0513	0.0425	0.0351
44	0.0473	0.0503	0.0540	0.0451	0.0351
45	0.0505	0.0525	0.0571	0.0481	0.0351
46	0.0543	0.0550	0.0606	0.0516	0.0351
47	0.0586	0.0580	0.0645	0.0557	0.0351
48	0.0636	0.0615	0.0688	0.0605	0.0351
49	0.0693	0.0656	0.0737	0.0659	0.0351
50	0.0757	0.0704	0.0792	0.0720	0.0351
51	0.0831	0.0759	0.0854	0.0789	0.0351
52	0.0915	0.0821	0.0924	0.0866	0.0351
53	0.1009	0.0892	0.1002	0.0951	0.0351
54	0.1116	0.0971	0.1089	0.1047	0.0351
55	0.1237	0.1060	0.1187	0.1156	0.0351
56	0.1375	0.1160	0.1297	0.1279	0.0351
57	0.1531	0.1272	0.1422	0.1419	0.0351
58	0.1705	0.1401	0.1565	0.1579	0.0351
59	0.1896	0.1548	0.1726	0.1757	0.0351
60	0.2094	0.1714	0.1901	0.1948	0.0351
61	0.2284	0.1899	0.2085	0.2141	0.0351
62	0.2453	0.2095	0.2264	0.2322	0.0351
63	0.2590	0.2288	0.2426	0.2477	0.0351
64	0.2691	0.2466	0.2560	0.2599	0.0351
65	0.2756	0.2615	0.2662	0.2684	0.0351
66	0.2793	0.2729	0.2729	0.2736	0.0351
67	0.2805	0.2807	0.2769	0.2761	0.0351
68	0.2796	0.2852	0.2785	0.2763	0.0351
69	0.2767	0.2870	0.2779	0.2742	0.0351
70	0.2717	0.2864	0.2753	0.2701	0.0351
71	0.2647	0.2836	0.2706	0.2638	0.0351
72	0.2557	0.2786	0.2638	0.2555	0.0351
73	0.2447	0.2715	0.2549	0.2450	0.0351
74	0.2322	0.2622	0.2440	0.2328	0.0351
75	0.2183	0.2508	0.2314	0.2190	0.0351
76	0.2033	0.2377	0.2173	0.2039	0.0351
77	0.1877	0.2229	0.2021	0.1880	0.0351
78	0.1718	0.2071	0.1860	0.1718	0.0351
79	0.1558	0.1904	0.1696	0.1556	0.0351
80	0.1400	0.1731	0.1531	0.1396	0.0351
81	0.1247	0.1558	0.1366	0.1244	0.0351
82	0.1099	0.1386	0.1207	0.1098	0.0351
83	0.0960	0.1219	0.1057	0.0961	0.0351
84	0.0834	0.1061	0.0917	0.0837	0.0351
85	0.0722	0.0916	0.0792	0.0726	0.0351
86	0.0628	0.0786	0.0684	0.0632	0.0351
87	0.0553	0.0674	0.0592	0.0553	0.0351
88	0.0497	0.0580	0.0519	0.0491	0.0351
89	0.0461	0.0507	0.0465	0.0447	0.0351
90	0.0444	0.0454	0.0429	0.0418	0.0351
91	0.0441	0.0421	0.0412	0.0403	0.0351
92	0.0449	0.0407	0.0409	0.0400	0.0351
93	0.0460	0.0407	0.0417	0.0405	0.0351
94	0.0469	0.0414	0.0430	0.0410	0.0351
95	0.0470	0.0421	0.0443	0.0413	0.0351
96	0.0458	0.0422	0.0448	0.0408	0.0351
97	0.0430	0.0412	0.0441	0.0390	0.0351
98	0.0389	0.0388	0.0419	0.0361	0.0351
99	0.0345	0.0352	0.0381	0.0331	0.0351
100	0.0313	0.0318	0.0339	0.0309	0.0351
101	0.0297	0.0293	0.0306	0.0298	0.0351
