	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles	Left Ankle Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
1	0.9	0.1	-1.6	0.6	1.5
2	-0.1	-0.5	-2.4	-0.6	1.5
3	-1.4	-1.5	-3.4	-1.9	1.5
4	-2.7	-2.8	-4.4	-3.2	1.5
5	-3.9	-4.0	-5.2	-4.2	1.5
6	-4.6	-5.1	-5.6	-4.9	1.5
7	-4.9	-5.7	-5.4	-5.0	1.5
8	-4.6	-5.8	-4.8	-4.7	1.5
9	-3.9	-5.3	-3.8	-3.9	1.5
10	-2.9	-4.4	-2.6	-3.0	1.5
11	-1.7	-3.3	-1.3	-2.0	1.5
12	-0.6	-2.1	-0.0	-1.0	1.5
13	0.4	-0.9	1.1	-0.1	1.5
14	1.2	0.2	2.0	0.6	1.5
15	1.9	1.1	2.9	1.2	1.5
16	2.4	1.9	3.5	1.6	1.5
17	2.8	2.6	4.1	1.8	1.5
18	3.0	3.1	4.6	2.0	1.5
19	3.2	3.5	4.9	2.1	1.5
20	3.4	3.8	5.3	2.2	1.5
21	3.5	4.1	5.6	2.3	1.5
22	3.7	4.4	5.8	2.3	1.5
23	3.9	4.6	6.0	2.4	1.5
24	4.2	4.9	6.2	2.6	1.5
25	4.6	5.1	6.5	2.8	1.5
26	5.0	5.4	6.7	3.0	1.5
27	5.4	5.7	7.0	3.3	1.5
28	6.0	6.1	7.3	3.6	1.5
29	6.5	6.4	7.6	4.0	1.5
30	7.1	6.8	8.0	4.4	1.5
31	7.8	7.2	8.4	4.9	1.5
32	8.4	7.6	8.8	5.4	1.5
33	9.1	8.1	9.2	6.0	1.5
34	9.7	8.6	9.6	6.5	1.5
35	10.4	9.0	10.0	7.1	1.5
36	11.0	9.6	10.3	7.8	1.5
37	11.6	10.1	10.7	8.4	1.5
38	12.2	10.6	11.0	9.0	1.5
39	12.8	11.1	11.3	9.7	1.5
40	13.3	11.6	11.5	10.3	1.5
41	13.8	12.1	11.7	10.8	1.5
42	14.2	12.6	11.9	11.4	1.5
43	14.6	13.0	12.0	11.8	1.5
44	14.8	13.4	12.2	12.3	1.5
45	15.1	13.8	12.3	12.6	1.5
46	15.2	14.1	12.4	12.9	1.5
47	15.3	14.4	12.5	13.2	1.5
48	15.3	14.7	12.5	13.3	1.5
49	15.2	14.9	12.5	13.4	1.5
50	15.0	15.0	12.4	13.3	1.5
51	14.6	15.1	12.2	13.1	1.5
52	14.1	15.0	11.9	12.8	1.5
53	13.3	14.8	11.4	12.2	1.5
54	12.1	14.3	10.7	11.4	1.5
55	10.6	13.7	9.7	10.2	1.5
56	8.7	12.7	8.4	8.7	1.5
57	6.3	11.4	6.7	6.7	1.5
58	3.5	9.6	4.7	4.4	1.5
59	0.3	7.4	2.2	1.7	1.5
60	-3.0	4.6	-0.6	-1.3	1.5
61	-6.2	1.5	-3.6	-4.3	1.5
62	-9.0	-1.9	-6.5	-7.0	1.5
63	-11.2	-5.3	-9.2	-9.2	1.5
64	-12.4	-8.5	-11.2	-10.7	1.5
65	-12.9	-11.1	-12.5	-11.4	1.5
66	-12.6	-12.8	-13.0	-11.4	1.5
67	-11.7	-13.6	-12.8	-10.9	1.5
68	-10.5	-13.6	-12.1	-10.0	1.5
69	-9.1	-12.9	-11.0	-8.8	1.5
70	-7.6	-11.6	-9.6	-7.6	1.5
71	-6.1	-10.1	-8.1	-6.3	1.5
72	-4.7	-8.4	-6.6	-5.0	1.5
73	-3.3	-6.8	-5.1	-3.8	1.5
74	-2.0	-5.1	-3.6	-2.6	1.5
75	-0.9	-3.6	-2.2	-1.5	1.5
76	0.1	-2.2	-0.9	-0.5	1.5
77	0.9	-1.0	0.2	0.4	1.5
78	1.5	0.1	1.2	1.1	1.5
79	1.9	1.0	2.0	1.6	1.5
80	2.2	1.7	2.6	2.0	1.5
81	2.3	2.2	3.0	2.2	1.5
82	2.3	2.5	3.2	2.3	1.5
83	2.2	2.6	3.3	2.2	1.5
84	2.0	2.5	3.2	2.0	1.5
85	1.7	2.3	3.0	1.8	1.5
86	1.5	2.0	2.7	1.6	1.5
87	1.2	1.6	2.3	1.4	1.5
88	1.0	1.2	1.9	1.2	1.5
89	0.9	0.8	1.6	1.0	1.5
90	0.7	0.5	1.2	0.9	1.5
91	0.6	0.2	0.9	0.8	1.5
92	0.5	-0.1	0.7	0.7	1.5
93	0.4	-0.3	0.5	0.7	1.5
94	0.5	-0.5	0.3	0.7	1.5
95	0.5	-0.6	0.2	0.7	1.5
96	0.7	-0.6	0.2	0.7	1.5
97	0.8	-0.6	0.3	0.7	1.5
98	0.8	-0.6	0.3	0.5	1.5
99	0.5	-0.7	0.3	0.0	1.5
100	-0.1	-1.0	-0.0	-0.7	1.5
101	-1.1	-1.6	-0.6	-1.7	1.5
