	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.86	-0.58	-0.85	-0.93	-1.08	-0.94	-1.04	-0.81	-0.95	-0.83	-1.09	-0.67
2	-0.87	-0.53	-0.74	-0.84	-0.95	-0.83	-0.95	-0.71	-0.86	-0.64	-0.91	-0.67
3	-0.78	-0.42	-0.57	-0.68	-0.73	-0.64	-0.81	-0.54	-0.71	-0.41	-0.68	-0.67
4	-0.61	-0.27	-0.35	-0.46	-0.45	-0.42	-0.63	-0.31	-0.53	-0.18	-0.44	-0.67
5	-0.38	-0.09	-0.10	-0.20	-0.16	-0.19	-0.44	-0.09	-0.34	0.02	-0.24	-0.67
6	-0.14	0.09	0.13	0.05	0.07	-0.01	-0.26	0.07	-0.17	0.17	-0.10	-0.67
7	0.07	0.24	0.30	0.23	0.20	0.11	-0.12	0.16	-0.03	0.26	-0.04	-0.67
8	0.22	0.32	0.38	0.32	0.22	0.16	-0.02	0.18	0.07	0.30	-0.05	-0.67
9	0.27	0.33	0.38	0.33	0.17	0.17	0.03	0.18	0.15	0.33	-0.09	-0.67
10	0.25	0.31	0.36	0.32	0.13	0.17	0.08	0.20	0.25	0.38	-0.10	-0.67
11	0.20	0.30	0.34	0.33	0.13	0.21	0.14	0.25	0.38	0.44	-0.06	-0.67
12	0.18	0.31	0.36	0.38	0.18	0.28	0.22	0.32	0.52	0.51	-0.00	-0.67
13	0.18	0.36	0.41	0.45	0.25	0.35	0.30	0.38	0.65	0.57	0.05	-0.67
14	0.19	0.41	0.47	0.51	0.32	0.40	0.36	0.41	0.76	0.61	0.08	-0.67
15	0.19	0.46	0.53	0.56	0.36	0.41	0.41	0.42	0.84	0.64	0.10	-0.67
16	0.17	0.47	0.57	0.57	0.37	0.37	0.43	0.41	0.87	0.66	0.11	-0.67
17	0.13	0.45	0.59	0.54	0.35	0.31	0.42	0.38	0.87	0.65	0.12	-0.67
18	0.07	0.41	0.59	0.48	0.30	0.22	0.38	0.34	0.83	0.63	0.13	-0.67
19	0.00	0.34	0.57	0.40	0.24	0.12	0.33	0.29	0.77	0.59	0.14	-0.67
20	-0.07	0.26	0.54	0.30	0.17	0.01	0.27	0.24	0.70	0.54	0.16	-0.66
21	-0.14	0.17	0.49	0.19	0.11	-0.09	0.20	0.19	0.64	0.48	0.17	-0.66
22	-0.20	0.09	0.44	0.09	0.05	-0.18	0.13	0.14	0.58	0.42	0.19	-0.66
23	-0.27	0.01	0.39	-0.01	0.00	-0.26	0.06	0.09	0.52	0.36	0.19	-0.66
24	-0.33	-0.06	0.32	-0.11	-0.04	-0.34	-0.01	0.04	0.45	0.30	0.19	-0.66
25	-0.38	-0.13	0.25	-0.19	-0.08	-0.41	-0.08	-0.02	0.36	0.24	0.17	-0.66
26	-0.43	-0.19	0.16	-0.26	-0.12	-0.46	-0.16	-0.07	0.26	0.19	0.15	-0.66
27	-0.48	-0.26	0.08	-0.34	-0.15	-0.51	-0.24	-0.12	0.16	0.13	0.13	-0.66
28	-0.52	-0.32	-0.01	-0.41	-0.17	-0.55	-0.31	-0.16	0.06	0.10	0.11	-0.66
29	-0.55	-0.37	-0.08	-0.48	-0.17	-0.58	-0.38	-0.19	-0.03	0.07	0.11	-0.66
30	-0.58	-0.42	-0.14	-0.54	-0.16	-0.60	-0.43	-0.21	-0.10	0.06	0.14	-0.66
