	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles	Left Knee Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1	-3.7	-4.8	-3.8	-4.3	-3.3	-3.6	-3.7	-4.5	-4.4	-3.9	-2.5	-6.9
2	-3.4	-4.6	-4.0	-4.3	-3.3	-3.4	-3.9	-4.5	-4.6	-4.3	-2.6	-6.9
3	-3.4	-4.8	-4.4	-4.6	-3.6	-3.7	-4.5	-4.7	-5.1	-5.3	-3.3	-6.9
4	-3.8	-5.3	-5.0	-5.1	-4.1	-4.4	-5.4	-5.2	-6.0	-6.4	-4.5	-6.9
5	-4.5	-6.1	-5.7	-5.8	-4.8	-5.3	-6.5	-6.0	-6.9	-7.6	-5.9	-6.9
6	-5.4	-6.9	-6.4	-6.6	-5.6	-6.4	-7.5	-6.9	-7.9	-8.8	-7.3	-6.9
7	-6.4	-7.8	-7.2	-7.4	-6.5	-7.4	-8.4	-7.8	-8.8	-9.8	-8.5	-6.9
8	-7.4	-8.5	-7.9	-8.1	-7.4	-8.4	-9.1	-8.6	-9.5	-10.5	-9.5	-6.9
9	-8.3	-9.2	-8.5	-8.7	-8.2	-9.2	-9.6	-9.2	-10.0	-10.9	-10.1	-6.9
10	-9.0	-9.7	-9.0	-9.1	-8.9	-9.7	-9.9	-9.6	-10.2	-11.1	-10.4	-6.9
11	-9.5	-10.0	-9.3	-9.3	-9.3	-10.1	-10.0	-9.8	-10.3	-11.0	-10.4	-6.9
12	-9.8	-10.2	-9.4	-9.4	-9.6	-10.2	-10.0	-9.8	-10.3	-10.8	-10.2	-6.9
13	-9.9	-10.2	-9.5	-9.5	-9.8	-10.2	-10.0	-9.8	-10.2	-10.6	-9.9	-6.9
14	-9.9	-10.2	-9.5	-9.5	-9.9	-10.2	-10.0	-9.8	-10.1	-10.5	-9.5	-6.9
15	-9.9	-10.1	-9.5	-9.5	-9.9	-10.1	-10.0	-9.8	-10.1	-10.4	-9.3	-6.9
16	-9.9	-10.1	-9.6	-9.5	-9.9	-10.0	-10.1	-9.9	-10.2	-10.4	-9.1	-6.9
17	-9.9	-10.1	-9.6	-9.6	-9.8	-10.0	-10.3	-9.9	-10.3	-10.5	-8.9	-6.9
18	-9.9	-10.0	-9.6	-9.6	-9.7	-9.9	-10.4	-10.0	-10.4	-10.6	-8.8	-6.9
19	-9.9	-10.0	-9.7	-9.7	-9.6	-9.8	-10.5	-10.1	-10.5	-10.7	-8.7	-6.9
20	-9.9	-10.0	-9.7	-9.7	-9.5	-9.7	-10.5	-10.1	-10.5	-10.7	-8.5	-6.9
21	-9.8	-10.0	-9.6	-9.7	-9.3	-9.5	-10.5	-10.0	-10.5	-10.7	-8.3	-6.9
22	-9.7	-9.9	-9.5	-9.7	-9.0	-9.3	-10.4	-9.9	-10.5	-10.6	-8.1	-6.9
23	-9.5	-9.8	-9.4	-9.6	-8.7	-9.0	-10.2	-9.7	-10.3	-10.4	-7.9	-6.9
24	-9.2	-9.6	-9.2	-9.3	-8.4	-8.7	-9.9	-9.4	-10.1	-10.1	-7.6	-6.9
25	-8.8	-9.4	-8.9	-9.1	-7.9	-8.3	-9.6	-9.1	-9.8	-9.8	-7.2	-6.9
26	-8.4	-9.1	-8.6	-8.7	-7.5	-7.9	-9.2	-8.7	-9.4	-9.4	-6.9	-6.9
27	-8.0	-8.8	-8.2	-8.4	-7.1	-7.5	-8.8	-8.4	-9.1	-9.0	-6.7	-6.9
