	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles	Left Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z
1	-1.54	-0.93	-1.82	0.97	1.54
2	-1.36	-0.79	-1.84	1.24	1.54
3	-1.14	-0.62	-1.83	1.52	1.54
4	-0.91	-0.42	-1.79	1.80	1.54
5	-0.69	-0.21	-1.70	2.05	1.54
6	-0.51	-0.01	-1.56	2.25	1.54
7	-0.38	0.16	-1.38	2.39	1.54
8	-0.31	0.28	-1.17	2.45	1.54
9	-0.31	0.35	-0.93	2.45	1.53
10	-0.34	0.37	-0.67	2.43	1.53
11	-0.37	0.37	-0.37	2.42	1.53
12	-0.38	0.39	-0.02	2.45	1.53
13	-0.31	0.46	0.38	2.56	1.53
14	-0.15	0.61	0.86	2.77	1.53
15	0.11	0.88	1.39	3.07	1.53
16	0.47	1.25	1.97	3.44	1.53
17	0.89	1.72	2.55	3.86	1.53
18	1.32	2.25	3.12	4.27	1.53
19	1.72	2.78	3.61	4.62	1.53
20	2.04	3.26	4.00	4.86	1.53
21	2.23	3.66	4.25	4.96	1.53
22	2.26	3.92	4.36	4.88	1.53
23	2.12	4.01	4.30	4.60	1.53
24	1.81	3.91	4.09	4.14	1.53
25	1.33	3.63	3.73	3.50	1.53
26	0.74	3.17	3.25	2.72	1.53
27	0.06	2.57	2.68	1.84	1.53
28	-0.66	1.85	2.04	0.90	1.53
29	-1.35	1.07	1.39	-0.04	1.53
30	-1.99	0.26	0.74	-0.95	1.53
31	-2.53	-0.52	0.14	-1.78	1.53
32	-2.93	-1.25	-0.41	-2.51	1.53
33	-3.20	-1.90	-0.88	-3.12	1.53
34	-3.32	-2.43	-1.27	-3.60	1.53
35	-3.31	-2.85	-1.58	-3.98	1.53
36	-3.20	-3.14	-1.82	-4.24	1.53
37	-3.02	-3.33	-2.01	-4.43	1.53
38	-2.79	-3.41	-2.14	-4.55	1.53
39	-2.55	-3.43	-2.23	-4.62	1.53
40	-2.33	-3.39	-2.30	-4.66	1.53
41	-2.15	-3.33	-2.35	-4.69	1.53
42	-2.02	-3.27	-2.38	-4.70	1.53
43	-1.94	-3.21	-2.38	-4.71	1.53
44	-1.92	-3.16	-2.36	-4.70	1.53
45	-1.95	-3.11	-2.30	-4.68	1.53
46	-2.00	-3.07	-2.19	-4.64	1.53
47	-2.07	-3.03	-2.04	-4.58	1.53
48	-2.14	-2.98	-1.85	-4.50	1.53
49	-2.20	-2.92	-1.64	-4.40	1.53
50	-2.26	-2.86	-1.41	-4.31	1.53
51	-2.30	-2.81	-1.20	-4.23	1.53
52	-2.32	-2.78	-1.02	-4.16	1.53
53	-2.31	-2.79	-0.88	-4.10	1.53
54	-2.27	-2.85	-0.79	-4.04	1.53
55	-2.18	-2.94	-0.75	-3.96	1.53
56	-2.07	-3.06	-0.75	-3.85	1.53
57	-1.93	-3.19	-0.80	-3.70	1.53
58	-1.81	-3.32	-0.90	-3.52	1.53
59	-1.73	-3.43	-1.07	-3.34	1.53
60	-1.73	-3.54	-1.32	-3.17	1.53
61	-1.84	-3.67	-1.66	-3.04	1.53
62	-2.07	-3.83	-2.12	-2.98	1.53
63	-2.42	-4.07	-2.68	-3.00	1.53
64	-2.87	-4.40	-3.34	-3.10	1.53
65	-3.40	-4.82	-4.06	-3.27	1.53
66	-3.96	-5.33	-4.82	-3.49	1.53
67	-4.53	-5.91	-5.57	-3.73	1.53
68	-5.04	-6.52	-6.27	-3.96	1.53
69	-5.47	-7.12	-6.88	-4.15	1.53
70	-5.78	-7.65	-7.37	-4.27	1.53
71	-5.95	-8.09	-7.71	-4.30	1.53
72	-5.97	-8.38	-7.89	-4.22	1.53
73	-5.85	-8.52	-7.90	-4.02	1.53
74	-5.58	-8.48	-7.74	-3.69	1.53
75	-5.18	-8.27	-7.43	-3.27	1.53
76	-4.68	-7.92	-6.99	-2.75	1.53
77	-4.11	-7.45	-6.44	-2.18	1.53
78	-3.49	-6.89	-5.83	-1.57	1.53
79	-2.87	-6.29	-5.18	-0.98	1.53
80	-2.27	-5.69	-4.54	-0.41	1.53
81	-1.72	-5.12	-3.93	0.09	1.53
82	-1.22	-4.62	-3.39	0.52	1.53
83	-0.81	-4.20	-2.93	0.86	1.53
84	-0.47	-3.86	-2.56	1.11	1.53
85	-0.21	-3.62	-2.28	1.28	1.53
86	-0.02	-3.45	-2.08	1.39	1.53
87	0.11	-3.33	-1.96	1.44	1.53
88	0.19	-3.24	-1.89	1.47	1.53
89	0.24	-3.16	-1.86	1.48	1.53
90	0.26	-3.07	-1.84	1.50	1.53
91	0.28	-2.95	-1.83	1.53	1.53
92	0.29	-2.81	-1.82	1.59	1.53
93	0.30	-2.63	-1.78	1.67	1.53
94	0.30	-2.44	-1.72	1.76	1.53
95	0.31	-2.24	-1.64	1.86	1.53
96	0.30	-2.07	-1.54	1.95	1.53
97	0.29	-1.93	-1.42	2.02	1.53
98	0.28	-1.84	-1.29	2.08	1.53
99	0.27	-1.80	-1.16	2.10	1.53
100	0.27	-1.80	-1.03	2.11	1.53
101	0.30	-1.82	-0.89	2.11	1.53
