	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	R_FCC	R_FCC	R_FCC	R_FCC
	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	0.0002	0.0294	0.0283	0.0332
2	0.0281	0.0279	0.0274	0.0332
3	0.0288	0.0281	0.0282	0.0332
4	0.0303	0.0297	0.0296	0.0332
5	0.0316	0.0312	0.0310	0.0332
6	0.0325	0.0321	0.0319	0.0332
7	0.0331	0.0327	0.0324	0.0332
8	0.0335	0.0330	0.0328	0.0332
9	0.0337	0.0331	0.0330	0.0332
10	0.0338	0.0332	0.0332	0.0332
11	0.0339	0.0333	0.0333	0.0332
12	0.0341	0.0333	0.0333	0.0332
13	0.0342	0.0334	0.0334	0.0332
14	0.0344	0.0335	0.0334	0.0332
15	0.0346	0.0336	0.0335	0.0332
16	0.0347	0.0337	0.0336	0.0332
17	0.0349	0.0339	0.0337	0.0332
18	0.0350	0.0340	0.0338	0.0332
19	0.0352	0.0341	0.0339	0.0332
20	0.0354	0.0343	0.0341	0.0332
21	0.0356	0.0346	0.0344	0.0332
22	0.0359	0.0350	0.0348	0.0332
23	0.0363	0.0353	0.0352	0.0332
24	0.0368	0.0357	0.0357	0.0332
25	0.0373	0.0361	0.0362	0.0332
26	0.0377	0.0364	0.0365	0.0332
27	0.0380	0.0368	0.0368	0.0332
28	0.0384	0.0372	0.0371	0.0332
29	0.0387	0.0376	0.0374	0.0332
30	0.0391	0.0380	0.0378	0.0332
31	0.0396	0.0385	0.0384	0.0332
32	0.0402	0.0390	0.0390	0.0332
33	0.0408	0.0396	0.0396	0.0332
34	0.0415	0.0404	0.0403	0.0332
35	0.0424	0.0414	0.0411	0.0332
36	0.0435	0.0425	0.0421	0.0332
37	0.0448	0.0439	0.0433	0.0332
38	0.0465	0.0456	0.0448	0.0332
39	0.0485	0.0476	0.0466	0.0332
40	0.0509	0.0498	0.0488	0.0332
41	0.0536	0.0523	0.0513	0.0332
42	0.0568	0.0551	0.0541	0.0332
43	0.0604	0.0582	0.0574	0.0332
44	0.0644	0.0616	0.0610	0.0332
45	0.0689	0.0654	0.0651	0.0332
46	0.0737	0.0695	0.0697	0.0332
47	0.0791	0.0742	0.0748	0.0332
48	0.0850	0.0796	0.0806	0.0332
49	0.0915	0.0856	0.0871	0.0332
50	0.0987	0.0924	0.0943	0.0332
51	0.1067	0.1001	0.1023	0.0332
52	0.1156	0.1087	0.1112	0.0332
53	0.1252	0.1183	0.1210	0.0332
54	0.1358	0.1290	0.1318	0.0332
55	0.1474	0.1408	0.1436	0.0332
56	0.1603	0.1541	0.1567	0.0332
57	0.1747	0.1688	0.1713	0.0332
58	0.1905	0.1849	0.1872	0.0332
59	0.2074	0.2022	0.2041	0.0332
60	0.2246	0.2197	0.2215	0.0332
61	0.2412	0.2366	0.2381	0.0332
62	0.2560	0.2518	0.2529	0.0332
63	0.2685	0.2647	0.2654	0.0332
64	0.2782	0.2748	0.2751	0.0332
65	0.2853	0.2822	0.2821	0.0332
66	0.2903	0.2872	0.2869	0.0332
67	0.2932	0.2900	0.2896	0.0332
68	0.2941	0.2906	0.2902	0.0332
69	0.2930	0.2891	0.2888	0.0332
70	0.2898	0.2855	0.2850	0.0332
71	0.2846	0.2798	0.2791	0.0332
72	0.2773	0.2720	0.2711	0.0332
73	0.2681	0.2622	0.2610	0.0332
74	0.2571	0.2507	0.2493	0.0332
75	0.2446	0.2376	0.2362	0.0332
76	0.2309	0.2234	0.2219	0.0332
77	0.2162	0.2082	0.2068	0.0332
78	0.2008	0.1923	0.1910	0.0332
79	0.1848	0.1759	0.1748	0.0332
80	0.1685	0.1592	0.1585	0.0332
81	0.1523	0.1424	0.1423	0.0332
82	0.1363	0.1259	0.1264	0.0332
83	0.1207	0.1100	0.1111	0.0332
84	0.1062	0.0950	0.0969	0.0332
85	0.0930	0.0815	0.0839	0.0332
86	0.0813	0.0695	0.0725	0.0332
87	0.0714	0.0595	0.0630	0.0332
88	0.0634	0.0515	0.0554	0.0332
89	0.0575	0.0456	0.0499	0.0332
90	0.0533	0.0418	0.0463	0.0332
91	0.0507	0.0398	0.0443	0.0332
92	0.0497	0.0392	0.0437	0.0332
93	0.0495	0.0397	0.0438	0.0332
94	0.0495	0.0403	0.0442	0.0332
95	0.0495	0.0406	0.0442	0.0332
96	0.0486	0.0401	0.0431	0.0332
97	0.0467	0.0382	0.0408	0.0332
98	0.0437	0.0348	0.0377	0.0332
99	0.0397	0.0311	0.0349	0.0332
100	0.0358	0.0281	0.0331	0.0332
101	0.0333	0.0266	0.0327	0.0332
