	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	R_FM1	R_FM1	R_FM1	R_FM1
	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	0.1297	0.1310	0.1269	0.0734
2	0.1183	0.1184	0.1156	0.0734
3	0.1072	0.1062	0.1048	0.0734
4	0.0973	0.0956	0.0956	0.0734
5	0.0893	0.0868	0.0880	0.0734
6	0.0837	0.0806	0.0827	0.0734
7	0.0799	0.0771	0.0795	0.0734
8	0.0775	0.0753	0.0775	0.0734
9	0.0758	0.0744	0.0762	0.0734
10	0.0745	0.0739	0.0752	0.0734
11	0.0735	0.0735	0.0745	0.0734
12	0.0726	0.0729	0.0740	0.0734
13	0.0715	0.0725	0.0734	0.0734
14	0.0707	0.0719	0.0729	0.0734
15	0.0699	0.0713	0.0724	0.0734
16	0.0694	0.0707	0.0721	0.0734
17	0.0692	0.0702	0.0718	0.0734
18	0.0691	0.0698	0.0715	0.0734
19	0.0692	0.0696	0.0713	0.0734
20	0.0692	0.0693	0.0710	0.0734
21	0.0692	0.0691	0.0706	0.0734
22	0.0691	0.0689	0.0702	0.0734
23	0.0690	0.0687	0.0699	0.0734
24	0.0688	0.0683	0.0696	0.0734
25	0.0687	0.0678	0.0693	0.0734
26	0.0685	0.0674	0.0690	0.0734
27	0.0682	0.0669	0.0687	0.0734
28	0.0678	0.0664	0.0686	0.0734
29	0.0676	0.0663	0.0688	0.0734
30	0.0673	0.0664	0.0691	0.0734
31	0.0669	0.0664	0.0691	0.0734
32	0.0668	0.0667	0.0688	0.0734
33	0.0667	0.0668	0.0681	0.0734
34	0.0664	0.0666	0.0673	0.0734
35	0.0662	0.0663	0.0665	0.0734
36	0.0659	0.0661	0.0661	0.0734
37	0.0655	0.0658	0.0657	0.0734
38	0.0650	0.0656	0.0653	0.0734
39	0.0647	0.0653	0.0650	0.0734
40	0.0643	0.0652	0.0647	0.0734
41	0.0639	0.0650	0.0644	0.0734
42	0.0637	0.0647	0.0640	0.0734
43	0.0635	0.0644	0.0637	0.0734
44	0.0632	0.0641	0.0634	0.0734
45	0.0629	0.0639	0.0631	0.0734
46	0.0629	0.0638	0.0629	0.0734
47	0.0627	0.0638	0.0627	0.0734
48	0.0626	0.0637	0.0626	0.0734
49	0.0625	0.0637	0.0626	0.0734
50	0.0625	0.0637	0.0625	0.0734
51	0.0624	0.0636	0.0625	0.0734
52	0.0624	0.0635	0.0624	0.0734
53	0.0624	0.0634	0.0623	0.0734
54	0.0624	0.0635	0.0624	0.0734
55	0.0630	0.0640	0.0628	0.0734
56	0.0639	0.0649	0.0637	0.0734
57	0.0658	0.0667	0.0653	0.0734
58	0.0686	0.0694	0.0679	0.0734
59	0.0720	0.0729	0.0712	0.0734
60	0.0758	0.0766	0.0748	0.0734
61	0.0795	0.0804	0.0783	0.0734
62	0.0839	0.0843	0.0824	0.0734
63	0.0886	0.0886	0.0870	0.0734
64	0.0938	0.0936	0.0920	0.0734
65	0.0992	0.0989	0.0974	0.0734
66	0.1044	0.1042	0.1026	0.0734
67	0.1086	0.1088	0.1067	0.0734
68	0.1117	0.1121	0.1094	0.0734
69	0.1138	0.1141	0.1112	0.0734
70	0.1146	0.1150	0.1118	0.0734
71	0.1146	0.1150	0.1117	0.0734
72	0.1139	0.1141	0.1109	0.0734
73	0.1127	0.1124	0.1094	0.0734
74	0.1109	0.1101	0.1074	0.0734
75	0.1086	0.1071	0.1048	0.0734
76	0.1057	0.1038	0.1015	0.0734
77	0.1025	0.1004	0.0978	0.0734
78	0.0993	0.0970	0.0943	0.0734
79	0.0963	0.0938	0.0911	0.0734
80	0.0938	0.0911	0.0885	0.0734
81	0.0918	0.0889	0.0865	0.0734
82	0.0905	0.0876	0.0853	0.0734
83	0.0899	0.0873	0.0849	0.0734
84	0.0904	0.0882	0.0857	0.0734
85	0.0920	0.0904	0.0877	0.0734
86	0.0947	0.0940	0.0910	0.0734
87	0.0991	0.0990	0.0959	0.0734
88	0.1048	0.1054	0.1022	0.0734
89	0.1122	0.1132	0.1100	0.0734
90	0.1209	0.1222	0.1191	0.0734
91	0.1303	0.1319	0.1286	0.0734
92	0.1399	0.1416	0.1380	0.0734
93	0.1488	0.1504	0.1465	0.0734
94	0.1562	0.1577	0.1533	0.0734
95	0.1617	0.1627	0.1580	0.0734
96	0.1644	0.1645	0.1599	0.0734
97	0.1637	0.1629	0.1585	0.0734
98	0.1596	0.1576	0.1537	0.0734
99	0.1520	0.1491	0.1462	0.0734
100	0.1420	0.1386	0.1362	0.0734
101	0.1304	0.1267	0.1247	0.0734
