	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d
	Right Ankle Moment	Right Ankle Moment	Right Ankle Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y
1	0.0198	0.0014	0.0314
2	0.0315	-0.0360	0.0410
3	0.0020	-0.1080	0.0150
4	-0.0012	-0.1374	0.0262
5	0.0423	-0.1346	0.0601
6	0.0969	-0.1217	0.0817
7	0.1155	-0.1186	0.0916
8	0.1322	-0.1023	0.1052
9	0.1578	-0.0876	0.1181
10	0.1761	-0.0782	0.1318
11	0.1943	-0.0681	0.1449
12	0.2092	-0.0615	0.1562
13	0.2192	-0.0585	0.1658
14	0.2255	-0.0576	0.1720
15	0.2301	-0.0556	0.1765
16	0.2347	-0.0504	0.1809
17	0.2392	-0.0415	0.1857
18	0.2431	-0.0308	0.1894
19	0.2445	-0.0204	0.1917
20	0.2427	-0.0112	0.1922
21	0.2391	-0.0035	0.1923
22	0.2345	0.0026	0.1928
23	0.2294	0.0064	0.1940
24	0.2257	0.0089	0.1962
25	0.2243	0.0110	0.1992
26	0.2245	0.0131	0.2027
27	0.2274	0.0168	0.2067
28	0.2338	0.0222	0.2116
29	0.2413	0.0280	0.2174
30	0.2492	0.0336	0.2243
31	0.2577	0.0385	0.2320
32	0.2665	0.0425	0.2405
33	0.2759	0.0461	0.2502
34	0.2865	0.0499	0.2613
35	0.2987	0.0544	0.2742
36	0.3128	0.0599	0.2883
37	0.3292	0.0670	0.3038
38	0.3476	0.0757	0.3210
39	0.3676	0.0862	0.3400
40	0.3890	0.0990	0.3610
41	0.4115	0.1133	0.3836
42	0.4350	0.1287	0.4077
43	0.4596	0.1450	0.4335
44	0.4850	0.1621	0.4608
45	0.5101	0.1804	0.4886
46	0.5333	0.1994	0.5158
47	0.5533	0.2185	0.5403
48	0.5687	0.2362	0.5603
49	0.5764	0.2522	0.5738
50	0.5751	0.2661	0.5784
51	0.5647	0.2761	0.5734
52	0.5446	0.2807	0.5581
53	0.5129	0.2760	0.5291
54	0.4660	0.2601	0.4840
55	0.4041	0.2349	0.4262
56	0.3345	0.2020	0.3601
57	0.2641	0.1642	0.2899
58	0.1956	0.1240	0.2190
59	0.1313	0.0848	0.1512
60	0.0735	0.0476	0.0885
61	0.0278	0.0178	0.0355
62	-0.0086	-0.0087	0.0003
63	-0.0098	-0.0098	-0.0114
64	-0.0100	-0.0099	-0.0098
65	-0.0092	-0.0092	-0.0094
66	-0.0082	-0.0081	-0.0083
67	-0.0070	-0.0069	-0.0072
68	-0.0059	-0.0056	-0.0060
69	-0.0049	-0.0045	-0.0051
70	-0.0042	-0.0037	-0.0043
71	-0.0036	-0.0031	-0.0037
72	-0.0032	-0.0027	-0.0032
73	-0.0028	-0.0025	-0.0028
74	-0.0026	-0.0023	-0.0025
75	-0.0024	-0.0023	-0.0023
76	-0.0024	-0.0024	-0.0023
77	-0.0024	-0.0025	-0.0024
78	-0.0025	-0.0027	-0.0025
79	-0.0026	-0.0028	-0.0027
80	-0.0028	-0.0030	-0.0029
81	-0.0030	-0.0033	-0.0031
82	-0.0032	-0.0035	-0.0033
83	-0.0034	-0.0037	-0.0036
84	-0.0036	-0.0039	-0.0038
85	-0.0038	-0.0041	-0.0039
86	-0.0039	-0.0042	-0.0040
87	-0.0039	-0.0042	-0.0040
88	-0.0038	-0.0040	-0.0039
89	-0.0034	-0.0037	-0.0035
90	-0.0027	-0.0031	-0.0028
91	-0.0017	-0.0022	-0.0019
92	-0.0006	-0.0012	-0.0009
93	0.0006	-0.0001	0.0003
94	0.0017	0.0010	0.0014
95	0.0026	0.0018	0.0023
96	0.0030	0.0023	0.0028
97	0.0030	0.0023	0.0028
98	0.0025	0.0018	0.0022
99	0.0016	0.0009	0.0010
100	0.0003	-0.0004	-0.0005
101	-0.0010	-0.0019	-0.0022
