	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression	Right Foot Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-18.9	-18.3	-18.1	-14.6	-17.4	-19.5	-21.0	-20.7	-20.4	-18.5	-24.1	-23.8	-21.2	-5.7
2	-18.6	-17.7	-17.4	-14.1	-16.6	-18.7	-20.7	-21.1	-19.4	-18.8	-23.5	-22.8	-20.2	-5.7
3	-18.2	-17.0	-16.5	-13.3	-15.6	-17.9	-20.2	-21.2	-18.1	-19.0	-22.7	-21.5	-19.0	-5.7
4	-17.7	-16.2	-15.6	-12.4	-14.5	-17.0	-19.6	-20.9	-16.7	-19.1	-22.0	-20.0	-17.9	-5.7
5	-17.1	-15.5	-14.8	-11.6	-13.6	-16.2	-19.0	-20.4	-15.5	-18.9	-21.3	-18.5	-16.9	-5.7
6	-16.5	-14.9	-14.0	-10.8	-12.9	-15.6	-18.4	-19.9	-14.6	-18.6	-20.8	-17.3	-16.2	-5.7
7	-16.0	-14.4	-13.4	-10.2	-12.3	-15.1	-17.8	-19.4	-13.9	-18.3	-20.5	-16.4	-15.7	-5.7
8	-15.6	-14.0	-12.9	-9.7	-11.9	-14.7	-17.3	-19.0	-13.5	-17.9	-20.2	-15.7	-15.3	-5.7
9	-15.3	-13.7	-12.4	-9.4	-11.7	-14.4	-17.0	-18.7	-13.2	-17.6	-20.0	-15.3	-15.1	-5.7
10	-15.1	-13.5	-12.1	-9.2	-11.5	-14.2	-16.6	-18.4	-13.1	-17.2	-19.9	-15.1	-14.9	-5.7
11	-15.0	-13.3	-11.8	-9.1	-11.4	-14.0	-16.3	-18.2	-12.9	-16.9	-19.7	-14.9	-14.8	-5.7
12	-14.9	-13.1	-11.6	-9.0	-11.3	-13.9	-16.1	-18.0	-12.8	-16.7	-19.6	-14.8	-14.6	-5.7
