	Gait LB - IOR 5.c3d	Gait LB - IOR 6.c3d	Static.c3d
	Right GRF	Right GRF	Right GRF
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X
1	0.0002	-0.0041	-0.0119
2	-0.0075	-0.0248	-0.0119
3	-0.0176	-0.0334	-0.0119
4	-0.0075	-0.0224	-0.0119
5	0.0065	-0.0095	-0.0119
6	0.0147	0.0001	-0.0119
7	0.0243	0.0084	-0.0119
8	0.0343	0.0201	-0.0119
9	0.0402	0.0282	-0.0119
10	0.0436	0.0258	-0.0119
11	0.0496	0.0179	-0.0119
12	0.0578	0.0147	-0.0119
13	0.0644	0.0209	-0.0119
14	0.0689	0.0290	-0.0119
15	0.0709	0.0340	-0.0119
16	0.0696	0.0370	-0.0119
17	0.0654	0.0398	-0.0119
18	0.0601	0.0433	-0.0119
19	0.0545	0.0446	-0.0119
20	0.0496	0.0429	-0.0119
21	0.0460	0.0411	-0.0119
22	0.0441	0.0392	-0.0119
23	0.0430	0.0362	-0.0119
24	0.0427	0.0314	-0.0119
25	0.0433	0.0268	-0.0119
26	0.0444	0.0242	-0.0119
27	0.0458	0.0235	-0.0119
28	0.0468	0.0236	-0.0119
29	0.0469	0.0239	-0.0119
30	0.0467	0.0245	-0.0119
31	0.0474	0.0259	-0.0119
32	0.0493	0.0280	-0.0119
33	0.0518	0.0300	-0.0119
34	0.0546	0.0314	-0.0119
35	0.0587	0.0331	-0.0119
36	0.0637	0.0353	-0.0119
37	0.0687	0.0382	-0.0119
38	0.0731	0.0417	-0.0119
39	0.0764	0.0445	-0.0119
40	0.0785	0.0474	-0.0119
41	0.0803	0.0521	-0.0119
42	0.0806	0.0578	-0.0119
43	0.0774	0.0629	-0.0119
44	0.0746	0.0661	-0.0119
45	0.0723	0.0675	-0.0119
46	0.0708	0.0660	-0.0119
47	0.0704	0.0629	-0.0119
48	0.0697	0.0609	-0.0119
49	0.0686	0.0588	-0.0119
50	0.0669	0.0576	-0.0119
51	0.0644	0.0566	-0.0119
52	0.0602	0.0540	-0.0119
53	0.0527	0.0494	-0.0119
54	0.0414	0.0423	-0.0119
55	0.0283	0.0321	-0.0119
56	0.0174	0.0208	-0.0119
57	0.0103	0.0122	-0.0119
58	0.0052	0.0084	-0.0119
59	0.0029	0.0057	-0.0119
60	0.0030	0.0042	-0.0119
61	0.0033	0.0048	-0.0119
62	-0.0002	0.0053	-0.0119
63	0.0001	0.0006	-0.0119
64	-0.0000	-0.0001	-0.0119
65	0.0000	-0.0000	-0.0119
66	-0.0000	0.0000	-0.0119
67	0.0000	-0.0000	-0.0119
68	0.0000	0.0000	-0.0119
69	-0.0000	-0.0000	-0.0119
70	0.0000	0.0000	-0.0119
71	-0.0000	-0.0000	-0.0119
72	0.0000	0.0000	-0.0119
73	-0.0000	-0.0000	-0.0119
74	0.0000	-0.0000	-0.0119
75	0.0000	0.0000	-0.0119
76	-0.0000	-0.0000	-0.0119
77	0.0000	0.0000	-0.0119
78	-0.0000	-0.0000	-0.0119
79	0.0000	0.0000	-0.0119
80	-0.0000	-0.0000	-0.0119
81	0.0000	0.0000	-0.0119
82	0.0000	-0.0000	-0.0119
83	-0.0000	-0.0000	-0.0119
84	0.0000	0.0000	-0.0119
85	-0.0000	-0.0000	-0.0119
86	0.0000	0.0000	-0.0119
87	-0.0000	-0.0000	-0.0119
88	-0.0000	0.0000	-0.0119
89	0.0000	-0.0000	-0.0119
90	-0.0000	0.0000	-0.0119
91	0.0000	-0.0000	-0.0119
92	-0.0000	-0.0000	-0.0119
93	0.0000	0.0000	-0.0119
94	-0.0000	-0.0000	-0.0119
95	-0.0000	0.0000	-0.0119
96	0.0000	-0.0000	-0.0119
97	-0.0000	0.0000	-0.0119
98	0.0000	-0.0000	-0.0119
99	-0.0000	0.0000	-0.0119
100	0.0000	-0.0000	-0.0119
101	0.0000	0.0000	-0.0119
