	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles	Right Hip Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	52.0	49.3	50.8	52.3	52.3	50.9	49.4	51.4	49.8	47.8	49.6	51.2	49.2	18.9
2	50.7	47.7	49.0	51.1	51.0	49.2	47.7	49.9	48.7	46.4	48.0	49.8	47.9	18.9
3	49.3	46.0	47.1	49.7	49.4	47.4	45.9	48.3	47.4	44.9	46.1	48.2	46.4	18.9
4	47.7	44.1	45.0	48.0	47.6	45.5	44.0	46.5	46.0	43.4	44.1	46.5	44.7	18.9
5	46.0	42.2	42.8	46.1	45.6	43.6	42.1	44.6	44.5	41.8	42.0	44.5	42.8	18.9
6	44.1	40.3	40.6	44.1	43.5	41.7	40.2	42.6	42.8	40.1	39.8	42.6	41.0	18.9
7	42.2	38.4	38.5	41.9	41.3	39.9	38.4	40.6	41.0	38.4	37.9	40.6	39.2	18.9
8	40.2	36.6	36.6	39.7	39.2	38.3	36.7	38.7	39.2	36.8	36.2	38.7	37.6	18.9
9	38.4	35.1	35.0	37.6	37.4	36.7	35.1	37.0	37.4	35.3	34.8	36.9	36.1	18.9
10	36.8	33.7	33.8	35.7	35.8	35.4	33.7	35.5	35.8	34.0	33.8	35.4	34.8	18.9
11	35.4	32.6	32.8	34.1	34.5	34.2	32.5	34.2	34.3	32.9	33.0	34.0	33.7	18.9
12	34.3	31.5	32.0	32.8	33.5	33.1	31.5	33.1	33.0	31.8	32.3	32.7	32.6	18.9
13	33.3	30.6	31.3	31.8	32.6	32.0	30.6	32.1	32.0	30.9	31.7	31.5	31.6	18.9
14	32.3	29.8	30.6	30.9	31.9	31.0	29.8	31.1	31.1	30.0	31.0	30.4	30.7	18.9
15	31.4	29.0	29.8	30.1	31.1	30.1	29.1	30.3	30.2	29.1	30.2	29.2	29.8	18.9
16	30.6	28.3	29.1	29.4	30.4	29.2	28.5	29.5	29.4	28.2	29.5	28.2	28.9	18.9
17	29.8	27.6	28.4	28.8	29.7	28.4	28.0	28.8	28.6	27.5	28.7	27.3	28.1	18.9
18	29.1	27.1	27.7	28.3	29.0	27.7	27.4	28.2	27.9	26.8	28.1	26.5	27.4	18.9
19	28.4	26.6	27.1	27.7	28.3	27.1	26.9	27.6	27.2	26.1	27.4	25.9	26.8	18.9
20	27.8	26.1	26.5	27.2	27.6	26.4	26.3	27.1	26.5	25.6	26.8	25.3	26.3	18.9
21	27.2	25.6	25.9	26.7	26.9	25.8	25.8	26.6	25.9	25.1	26.1	24.7	25.7	18.9
22	26.5	25.1	25.3	26.1	26.2	25.2	25.2	26.0	25.3	24.6	25.5	24.2	25.1	18.9
23	25.9	24.5	24.7	25.4	25.5	24.6	24.6	25.5	24.7	24.1	24.9	23.6	24.6	18.9
24	25.3	24.0	24.1	24.8	24.8	23.9	24.1	24.9	24.1	23.6	24.3	23.1	24.0	18.9
