	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y
1	1.08	-1.19	1.31	0.29
2	1.23	-0.94	1.43	0.29
3	1.43	-0.66	1.57	0.29
4	1.68	-0.34	1.73	0.29
5	1.98	0.02	1.92	0.29
6	2.35	0.43	2.17	0.29
7	2.77	0.90	2.49	0.29
8	3.25	1.43	2.90	0.29
9	3.77	2.00	3.38	0.29
10	4.30	2.60	3.90	0.29
11	4.81	3.16	4.43	0.29
12	5.24	3.63	4.91	0.29
13	5.56	3.98	5.26	0.29
14	5.73	4.15	5.46	0.29
15	5.73	4.14	5.46	0.29
16	5.59	3.96	5.28	0.29
17	5.31	3.63	4.94	0.29
18	4.94	3.21	4.49	0.29
19	4.53	2.74	3.99	0.29
20	4.11	2.29	3.48	0.29
21	3.71	1.87	3.01	0.29
22	3.34	1.51	2.62	0.29
23	3.01	1.21	2.29	0.29
24	2.70	0.96	2.04	0.29
25	2.42	0.73	1.84	0.29
26	2.14	0.52	1.67	0.29
27	1.86	0.30	1.52	0.29
28	1.59	0.07	1.37	0.29
29	1.32	-0.17	1.21	0.29
30	1.07	-0.42	1.04	0.29
31	0.85	-0.68	0.87	0.29
32	0.65	-0.93	0.69	0.29
33	0.48	-1.17	0.52	0.29
34	0.35	-1.38	0.36	0.29
35	0.27	-1.56	0.23	0.29
36	0.24	-1.68	0.14	0.29
37	0.27	-1.73	0.11	0.29
38	0.35	-1.69	0.15	0.29
39	0.49	-1.57	0.25	0.29
40	0.68	-1.37	0.41	0.29
41	0.90	-1.10	0.62	0.29
42	1.15	-0.79	0.86	0.29
43	1.40	-0.47	1.10	0.29
44	1.63	-0.18	1.33	0.29
45	1.83	0.05	1.52	0.29
46	1.97	0.19	1.65	0.29
47	2.04	0.25	1.72	0.29
48	2.04	0.20	1.72	0.29
49	1.97	0.07	1.66	0.29
50	1.83	-0.15	1.53	0.29
51	1.63	-0.42	1.35	0.29
52	1.37	-0.74	1.11	0.29
53	1.05	-1.10	0.80	0.29
54	0.66	-1.49	0.43	0.29
55	0.20	-1.92	0.00	0.29
56	-0.33	-2.38	-0.49	0.29
57	-0.92	-2.88	-1.04	0.29
58	-1.56	-3.40	-1.60	0.29
59	-2.21	-3.92	-2.17	0.29
60	-2.81	-4.42	-2.70	0.29
61	-3.33	-4.86	-3.14	0.29
62	-3.73	-5.21	-3.48	0.29
63	-3.97	-5.44	-3.70	0.29
64	-4.05	-5.56	-3.79	0.29
65	-3.97	-5.55	-3.76	0.29
66	-3.78	-5.44	-3.65	0.29
67	-3.49	-5.24	-3.46	0.29
68	-3.16	-4.99	-3.25	0.29
69	-2.81	-4.70	-3.01	0.29
70	-2.46	-4.39	-2.76	0.29
71	-2.14	-4.08	-2.51	0.29
72	-1.83	-3.75	-2.24	0.29
73	-1.52	-3.42	-1.95	0.29
74	-1.20	-3.07	-1.62	0.29
75	-0.88	-2.71	-1.26	0.29
76	-0.53	-2.34	-0.87	0.29
77	-0.19	-1.97	-0.46	0.29
78	0.15	-1.63	-0.05	0.29
79	0.47	-1.31	0.33	0.29
80	0.76	-1.02	0.67	0.29
81	1.00	-0.78	0.96	0.29
82	1.20	-0.58	1.18	0.29
83	1.35	-0.44	1.34	0.29
84	1.45	-0.34	1.44	0.29
85	1.50	-0.29	1.48	0.29
86	1.50	-0.29	1.47	0.29
87	1.45	-0.34	1.41	0.29
88	1.36	-0.44	1.32	0.29
89	1.22	-0.58	1.20	0.29
90	1.06	-0.75	1.05	0.29
91	0.87	-0.94	0.89	0.29
92	0.67	-1.13	0.74	0.29
93	0.48	-1.32	0.60	0.29
94	0.30	-1.48	0.49	0.29
95	0.15	-1.60	0.42	0.29
96	0.03	-1.67	0.40	0.29
97	-0.04	-1.68	0.42	0.29
98	-0.07	-1.63	0.50	0.29
99	-0.03	-1.52	0.61	0.29
100	0.06	-1.37	0.75	0.29
101	0.20	-1.18	0.93	0.29
