	Gait FB - IOR 2.c3d	Gait FB - IOR 3.c3d	Gait FB - IOR 4.c3d	Static.c3d
	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles	Right Pelvic Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z
1	2.29	2.78	4.23	-1.54
2	2.32	2.83	4.16	-1.54
3	2.32	2.91	4.10	-1.54
4	2.29	3.03	4.04	-1.54
5	2.22	3.15	3.96	-1.54
6	2.12	3.28	3.85	-1.54
7	1.99	3.40	3.70	-1.54
8	1.86	3.50	3.52	-1.54
9	1.76	3.62	3.34	-1.53
10	1.72	3.77	3.17	-1.53
11	1.78	3.98	3.04	-1.53
12	1.95	4.27	2.98	-1.53
13	2.25	4.66	3.00	-1.53
14	2.66	5.14	3.10	-1.53
15	3.16	5.69	3.27	-1.53
16	3.71	6.29	3.49	-1.53
17	4.28	6.89	3.73	-1.53
18	4.82	7.45	3.96	-1.53
19	5.29	7.93	4.15	-1.53
20	5.66	8.28	4.27	-1.53
21	5.89	8.48	4.30	-1.53
22	5.98	8.51	4.22	-1.53
23	5.92	8.38	4.02	-1.53
24	5.71	8.10	3.69	-1.53
25	5.37	7.68	3.27	-1.53
26	4.91	7.16	2.75	-1.53
27	4.37	6.58	2.18	-1.53
28	3.77	5.98	1.57	-1.53
29	3.15	5.40	0.98	-1.53
30	2.53	4.86	0.41	-1.53
31	1.95	4.40	-0.09	-1.53
32	1.43	4.03	-0.52	-1.53
33	0.98	3.74	-0.86	-1.53
34	0.61	3.53	-1.11	-1.53
35	0.32	3.39	-1.28	-1.53
36	0.10	3.29	-1.39	-1.53
37	-0.06	3.21	-1.44	-1.53
38	-0.16	3.13	-1.47	-1.53
39	-0.22	3.03	-1.48	-1.53
40	-0.25	2.90	-1.50	-1.53
41	-0.27	2.74	-1.53	-1.53
42	-0.28	2.55	-1.59	-1.53
43	-0.29	2.36	-1.67	-1.53
44	-0.30	2.17	-1.76	-1.53
45	-0.31	2.01	-1.86	-1.53
46	-0.30	1.89	-1.95	-1.53
47	-0.30	1.82	-2.02	-1.53
48	-0.28	1.80	-2.08	-1.53
49	-0.27	1.80	-2.10	-1.53
50	-0.27	1.83	-2.11	-1.53
51	-0.29	1.84	-2.11	-1.53
52	-0.33	1.83	-2.09	-1.53
53	-0.39	1.77	-2.07	-1.53
54	-0.47	1.67	-2.05	-1.53
55	-0.56	1.52	-2.01	-1.53
56	-0.63	1.33	-1.96	-1.53
57	-0.68	1.12	-1.90	-1.53
58	-0.71	0.89	-1.83	-1.53
59	-0.73	0.62	-1.78	-1.53
60	-0.77	0.32	-1.77	-1.53
61	-0.84	-0.02	-1.82	-1.53
62	-0.99	-0.43	-1.95	-1.53
63	-1.24	-0.91	-2.19	-1.53
64	-1.59	-1.43	-2.52	-1.53
65	-2.03	-2.00	-2.94	-1.53
66	-2.55	-2.58	-3.41	-1.53
67	-3.10	-3.13	-3.89	-1.53
68	-3.64	-3.61	-4.33	-1.53
69	-4.12	-4.00	-4.70	-1.53
70	-4.49	-4.25	-4.95	-1.53
71	-4.73	-4.36	-5.06	-1.53
72	-4.81	-4.31	-5.02	-1.53
73	-4.71	-4.11	-4.82	-1.53
74	-4.44	-3.77	-4.48	-1.53
75	-4.01	-3.31	-3.99	-1.53
76	-3.45	-2.75	-3.40	-1.53
77	-2.78	-2.14	-2.73	-1.53
78	-2.05	-1.50	-2.03	-1.53
79	-1.29	-0.86	-1.32	-1.53
80	-0.55	-0.25	-0.65	-1.53
81	0.14	0.30	-0.04	-1.53
82	0.75	0.78	0.47	-1.53
83	1.26	1.18	0.88	-1.53
84	1.66	1.51	1.18	-1.53
85	1.95	1.76	1.37	-1.53
86	2.14	1.96	1.46	-1.53
87	2.24	2.10	1.48	-1.53
88	2.28	2.20	1.44	-1.53
89	2.26	2.28	1.36	-1.53
90	2.23	2.33	1.25	-1.53
91	2.19	2.37	1.14	-1.53
92	2.17	2.38	1.03	-1.53
93	2.18	2.37	0.93	-1.53
94	2.23	2.33	0.85	-1.53
95	2.30	2.25	0.78	-1.53
96	2.41	2.12	0.74	-1.53
97	2.54	1.95	0.71	-1.53
98	2.69	1.75	0.70	-1.53
99	2.85	1.53	0.73	-1.53
100	3.01	1.32	0.78	-1.53
101	3.16	1.12	0.86	-1.53
