Ankle Dorsiflexion,Left Ankle Angles.txt,Right Ankle Angles.txt
Ankle Inversion,Left Ankle Inversion.txt,Right Ankle Inversion.txt
Foot Pitch,Left Foot Pitch Angles.txt,Right Foot Pitch Angles.txt
Foot Internal Progression,Left Foot Progression.txt,Right Foot Progression.txt
Knee Flexion,Left Knee Angles.txt,Right Knee Angles.txt
Knee Varus,Left Knee Adduction.txt,Right Knee Adduction.txt
Knee Internal Rotation,Left Knee Rotation.txt,Right Knee Rotation.txt
Hip Flexion,Left Hip Angles.txt,Right Hip Angles.txt
Hip Adduction,Left Hip Adduction.txt,Right Hip Adduction.txt
Hip Internal Rotation,Left Hip Rotation.txt,Right Hip Rotation.txt
Pelvic Anterior Tilt,Left Pelvic Tilt.txt,Right Pelvic Tilt.txt
Pelvic Up Obliquity,Left Pelvic Obliquity.txt,Right Pelvic Obliquity.txt
Pelvic Internal Rotation,Left Pelvic Rotation.txt,Right Pelvic Rotation.txt
